step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
470000,212,4.099,0.176,12.67,14046,6166,32,7726,140,242,409245.7,16782.5,0.004,0.012,0.374,0.002,0.609,11529,61.84,1.39,39.92,5.89,3.70,7.67,0.07,0.34,18.16,2.61,3.68,7.62,0.058,0.120,40,0.458,0.873,0.113,0.000,0.014,4187,3059,2,0.844,0.000
480000,207,4.221,0.166,12.37,15655,6598,32,8877,153,246,409399.0,18727.4,0.002,0.012,0.390,0.001,0.594,9160,61.86,1.78,40.82,5.34,2.47,6.00,0.06,0.51,18.51,2.54,2.47,6.00,0.039,0.094,40,0.357,0.874,0.116,0.000,0.010,5004,3995,2,0.903,0.000
490000,233,3.883,0.160,12.21,18078,6479,32,11339,202,219,409471.0,23312.2,0.002,0.013,0.400,0.001,0.583,7461,55.12,15.30,32.27,15.88,3.46,7.40,0.87,2.61,18.53,5.27,3.36,7.16,0.054,0.116,63,0.313,0.734,0.223,0.000,0.043,6070,4787,2,0.845,0.000
500000,247,3.913,0.153,12.46,18397,6065,16,12212,90,340,409428.7,26515.7,0.003,0.014,0.404,0.002,0.577,7997,59.05,8.26,37.66,10.50,2.10,5.79,0.12,0.65,19.17,3.50,2.09,5.79,0.034,0.091,59,0.409,0.899,0.097,0.000,0.004,5515,4183,2,0.911,0.000
510000,261,3.483,0.164,12.72,20535,6711,14,13623,173,593,409526.7,31612.2,0.006,0.015,0.473,0.002,0.504,6398,47.05,22.43,25.76,19.18,4.67,7.89,0.34,2.92,16.27,6.39,4.03,7.80,0.099,0.155,84,0.134,0.690,0.295,0.000,0.015,6795,4925,2,0.437,0.375
520000,244,3.773,0.174,12.97,21478,6556,22,14688,229,414,410220.8,29578.0,0.003,0.014,0.448,0.004,0.531,6067,53.45,19.20,32.31,16.52,4.18,8.13,0.15,0.94,16.81,4.50,4.15,8.07,0.066,0.128,58,0.246,0.668,0.303,0.000,0.029,7543,5324,2,0.598,0.221
530000,218,4.043,0.164,12.33,14955,5533,25,9378,45,287,410303.9,21796.4,0.001,0.011,0.396,0.003,0.588,8659,62.01,2.82,40.22,7.01,2.22,5.51,0.26,0.75,19.31,3.24,1.94,4.59,0.037,0.094,52,0.257,0.904,0.096,0.000,0.000,4174,2816,2,0.908,0.000
540000,252,3.589,0.136,12.71,9583,6470,49,3022,8,233,410432.9,8725.6,0.001,0.010,0.321,0.000,0.667,14091,51.23,13.18,30.86,11.85,2.04,5.64,0.37,2.27,17.96,3.45,1.95,5.20,0.036,0.098,61,0.190,0.881,0.107,0.000,0.012,2072,1443,2,0.905,0.000
550000,238,3.733,0.132,12.77,10863,6556,60,4235,26,214,410409.1,10528.4,0.002,0.010,0.339,0.001,0.648,11552,55.83,2.43,34.23,5.79,3.29,6.80,0.11,0.33,18.21,2.31,3.20,6.54,0.057,0.118,48,0.160,0.861,0.130,0.000,0.008,2679,1788,2,0.836,0.000
560000,262,3.863,0.127,13.14,10523,7260,70,3145,24,161,409816.3,8467.3,0.002,0.006,0.412,0.001,0.578,12342,51.77,5.29,34.35,5.91,1.98,4.46,0.01,0.12,15.42,5.30,1.98,4.46,0.036,0.077,65,0.218,0.855,0.115,0.000,0.031,2614,1597,2,0.916,0.000
