step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,3,3,0,0,0,3,0,1.00,24,0.000,2221,1.40,132.12,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2215,1.48,112.85,0.00,220
100000,15,15,0,0,0,15,0,1.00,8,0.000,2215,1.10,184.53,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2213,1.22,135.83,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2206,1.53,103.01,0.00,154
100000,7,7,0,0,0,7,0,1.00,18,0.000,2200,1.45,207.80,0.00,214
100000,3,3,0,0,0,3,0,1.00,24,0.000,2200,2.30,129.63,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2200,1.99,111.48,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2196,1.86,119.50,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2195,1.53,124.74,0.00,55
100000,7,7,0,0,4,3,0,1.00,18,0.000,2195,2.23,128.73,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2193,1.64,105.75,0.00,49
100000,7,7,0,0,0,7,0,1.00,20,0.000,2192,1.42,120.83,0.00,49
100000,6,6,0,0,0,6,0,1.00,20,0.000,2191,2.57,135.26,0.00,80
100000,6,6,0,0,1,5,0,1.00,20,0.000,2189,2.53,185.81,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2187,1.14,140.47,0.00,55
100000,9,9,0,0,0,9,0,1.00,12,0.000,2186,2.63,189.29,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2183,1.15,148.62,0.00,210
100000,3,3,0,0,0,3,0,1.00,24,0.000,2183,1.44,113.03,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2182,2.08,105.41,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2182,1.40,129.28,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2181,2.30,174.48,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2171,1.99,103.71,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2161,2.16,114.34,0.00,154
100000,3,3,0,0,0,3,0,1.00,24,0.000,2160,1.21,108.28,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2153,1.54,120.83,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2153,1.23,117.99,0.00,55
100000,6,6,0,0,1,5,0,1.00,20,0.000,2151,1.75,175.21,0.00,55
100000,9,9,0,0,0,9,0,1.00,12,0.000,2149,2.37,153.60,0.00,131
