step,cause,age,size,mass,n,worn
10000,hunger,50,56,84,1,0
10000,hunger,50,56,92,1,0
10000,hunger,50,56,100,1,0
10000,hunger,50,56,108,3,0
10000,hunger,50,56,112,3,0
10000,hunger,50,56,116,1,0
10000,hunger,50,56,132,1,0
10000,hunger,50,56,176,1,0
10000,hunger,50,60,32,2,0
10000,hunger,50,60,40,1,0
10000,hunger,50,60,48,3,0
10000,hunger,50,60,52,4,0
10000,hunger,50,60,56,7,0
10000,hunger,50,60,60,10,0
10000,hunger,50,60,64,13,0
10000,hunger,50,60,68,3,0
10000,hunger,50,60,72,5,0
10000,hunger,50,60,76,3,0
10000,hunger,50,60,80,3,0
10000,hunger,50,60,84,3,0
10000,hunger,50,60,88,9,0
10000,hunger,50,60,92,4,0
10000,hunger,50,60,96,1,0
10000,hunger,50,60,108,4,0
10000,hunger,50,60,112,2,0
10000,hunger,50,60,116,3,0
10000,hunger,50,60,120,2,0
10000,hunger,50,64,28,3,0
10000,hunger,50,64,32,2,1
10000,hunger,50,64,36,5,0
10000,hunger,50,64,40,2,0
10000,hunger,50,64,44,8,0
10000,hunger,50,64,48,8,0
10000,hunger,50,64,52,18,1
10000,hunger,50,64,56,28,1
10000,hunger,50,64,60,72,0
10000,hunger,50,64,64,38,0
10000,hunger,50,64,68,47,1
10000,hunger,50,64,72,40,0
10000,hunger,50,64,76,22,0
10000,hunger,50,64,80,17,0
10000,hunger,50,64,84,14,0
10000,hunger,50,64,88,17,0
10000,hunger,50,64,92,18,0
10000,hunger,50,64,96,8,0
10000,hunger,50,64,100,9,0
10000,hunger,50,64,104,3,0
10000,hunger,50,64,108,2,0
10000,hunger,50,64,112,7,0
10000,hunger,50,64,116,15,1
10000,hunger,50,64,120,8,0
10000,hunger,50,64,124,24,0
10000,hunger,50,64,128,3,0
10000,hunger,50,64,132,3,0
10000,hunger,50,64,136,4,0
10000,hunger,50,64,140,2,0
10000,hunger,50,64,144,2,0
10000,hunger,50,64,156,1,0
10000,hunger,50,64,160,1,0
