step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
550000,3386,4.472,0.156,14.77,229029,70443,1360,155599,1692,4964,6227561.5,413262.9,0.006,0.068,0.553,0.309,0.065,454,61.15,6.31,31.22,13.51,9.62,9.79,0.82,1.07,19.49,3.95,9.52,9.69,0.155,0.158,421,0.449,0.716,0.273,0.000,0.012,55675,26153,7,0.470,0.011,0.691,22737992,0.062,0.125,0.015,655.35
560000,3669,4.106,0.157,15.32,152264,68358,2041,81433,149,2997,6323980.0,253571.3,0.007,0.084,0.516,0.310,0.083,655,56.32,17.06,32.96,17.27,5.83,8.95,0.60,0.83,16.93,5.14,5.52,8.74,0.103,0.158,531,0.250,0.784,0.195,0.000,0.022,33388,10647,7,0.422,0.118,0.518,18821446,0.064,0.126,0.016,655.35
570000,3912,3.889,0.150,14.11,303265,72686,1349,226005,2982,12463,6132296.5,498149.6,0.006,0.060,0.558,0.313,0.062,437,52.21,21.16,28.60,19.00,6.38,9.15,0.74,2.16,16.50,5.51,6.06,8.87,0.112,0.160,581,0.251,0.754,0.225,0.000,0.021,87366,47850,10,0.323,0.070,0.498,19524259,0.062,0.122,0.013,655.35
580000,3457,4.385,0.165,15.59,277302,76735,865,197817,2340,11673,6245115.0,484043.5,0.005,0.057,0.592,0.291,0.055,471,59.38,5.54,35.55,13.43,6.74,9.38,0.41,1.10,16.69,2.80,6.21,8.64,0.121,0.167,525,0.210,0.790,0.197,0.000,0.013,74516,39359,5,0.618,0.022,0.254,13436963,0.073,0.134,0.024,655.35
590000,3649,4.103,0.146,16.21,177288,80127,1347,95603,19,6657,6145548.0,289184.5,0.004,0.074,0.580,0.272,0.070,578,58.81,5.71,37.68,10.79,3.24,7.07,0.43,1.30,17.46,3.23,2.90,6.36,0.061,0.132,734,0.121,0.886,0.106,0.000,0.008,36937,11169,4,0.725,0.105,0.207,8002661,0.080,0.117,0.009,655.35
600000,3604,4.202,0.148,15.87,317786,84353,916,230160,2402,8832,6050324.5,484602.0,0.006,0.072,0.571,0.253,0.098,322,59.34,6.61,37.97,11.99,3.96,7.73,0.45,1.38,16.96,3.47,3.50,6.91,0.075,0.146,623,0.093,0.868,0.126,0.000,0.006,90633,42532,7,0.317,0.061,0.248,7741766,0.091,0.118,0.010,655.35
610000,3476,4.257,0.165,15.73,317698,78255,647,236450,2474,13719,6330623.0,545460.5,0.006,0.072,0.562,0.266,0.094,347,61.94,5.11,42.70,11.31,3.09,7.07,0.12,0.84,16.03,2.89,2.89,6.57,0.057,0.130,354,0.556,0.899,0.089,0.000,0.011,90064,44464,7,0.782,0.026,0.055,6254234,0.091,0.130,0.019,655.33
620000,4165,3.738,0.158,14.31,269928,80242,1424,185957,1616,12455,6130095.0,422753.0,0.005,0.088,0.537,0.278,0.092,391,47.47,22.65,26.16,20.20,6.48,9.25,0.15,1.16,14.68,5.03,5.54,8.89,0.139,0.180,688,0.230,0.746,0.220,0.000,0.034,77786,36909,7,0.286,0.279,0.046,2229539,0.101,0.131,0.019,655.34
630000,4076,3.798,0.153,14.03,328191,78169,1473,246775,1863,19236,6068851.5,503321.9,0.006,0.105,0.496,0.276,0.117,379,49.97,21.53,28.48,19.95,6.83,9.94,0.15,1.30,14.51,4.69,5.80,9.35,0.145,0.190,551,0.225,0.759,0.220,0.000,0.021,98789,52180,6,0.290,0.071,0.041,1519363,0.109,0.126,0.017,655.34
640000,3952,3.985,0.155,14.26,364746,79421,1427,280156,3866,18469,6069795.5,520281.1,0.003,0.106,0.471,0.307,0.113,409,52.58,19.85,32.89,19.21,4.52,8.48,0.13,1.34,15.04,4.45,3.62,7.05,0.091,0.158,549,0.277,0.774,0.207,0.001,0.019,118146,69210,5,0.403,0.091,0.049,1589759,0.110,0.126,0.015,655.34
