step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
270000,0,886,28.17,0.71,4.03,0.00,8.63,0.56,1.23,0.236,0.136,324703.8,188258.0,10,122,2.94,1.37,1.06,18.1756,607.10,11789.6,24.4195,6.5235,5462,23.1825,123,34.5947,261695.8,142.23,3.4496
270000,1,1022,28.36,0.48,4.32,0.00,8.89,0.39,1.17,0.156,0.160,425684.1,303805.9,12,132,3.13,1.26,1.07,40.3532,1547.36,23815.2,15.5313,3.6855,5461,23.1783,53,58.6288,392876.8,86.56,12.6806
270000,2,796,28.10,0.45,4.60,0.00,8.55,0.35,1.16,0.144,0.124,363020.9,248733.6,11,140,3.07,1.23,1.08,31.6334,769.85,28573.9,7.4462,3.9606,5461,23.1783,41,47.5167,325865.5,71.21,24.5732
280000,0,902,28.22,0.49,3.20,0.00,9.92,0.46,1.16,0.182,0.141,246691.8,124679.5,14,104,3.00,1.26,1.04,11.6768,614.08,12575.9,5.3236,7.1915,5462,13.7721,87,23.2102,175787.0,142.23,1.4091
280000,1,869,29.18,0.57,3.22,0.01,10.23,0.38,1.19,0.155,0.139,143157.0,77254.9,16,181,3.04,1.29,1.08,8.0532,763.40,29841.4,0.3773,5.2152,5461,13.7695,51,12.0264,91381.2,86.56,3.3498
280000,2,641,30.55,0.43,3.74,0.00,10.68,0.31,1.12,0.120,0.109,104697.2,56294.2,15,152,3.14,1.20,1.03,6.1446,488.63,45495.8,0.0553,4.7395,5461,13.7695,75,7.7775,57922.0,71.21,5.6548
290000,0,911,28.04,0.70,3.52,0.00,9.10,0.62,1.24,0.247,0.139,295856.3,157355.2,24,124,3.00,1.37,1.08,13.7155,530.15,11031.5,26.2315,7.4028,5462,22.8609,121,28.1931,224169.9,142.23,3.6432
290000,1,864,28.24,0.59,3.95,0.00,8.99,0.48,1.20,0.200,0.134,412303.4,283422.8,24,118,3.10,1.32,1.05,37.5880,1339.12,25417.0,15.1119,4.6468,5461,22.8567,69,55.6254,369248.5,86.56,13.3132
290000,2,781,28.47,0.55,4.27,0.00,8.87,0.36,1.19,0.150,0.122,383066.0,264798.8,24,142,3.09,1.29,1.08,36.0530,1441.23,32870.2,6.4676,3.9867,5461,22.8567,43,52.7019,345520.5,71.21,25.1118
300000,0,882,28.07,0.54,3.80,0.00,9.15,0.46,1.17,0.186,0.136,246789.1,125719.3,14,128,3.01,1.29,1.06,11.1522,350.24,11386.3,5.6065,7.6613,5462,13.6599,132,22.5342,170962.1,142.23,1.4558
300000,1,742,29.63,0.53,3.53,0.00,10.22,0.39,1.16,0.163,0.122,135265.5,70264.0,15,140,3.10,1.28,1.04,7.2935,919.20,31162.4,0.4494,5.4171,5461,13.6574,78,10.9111,81393.8,86.56,3.3265
300000,2,716,29.79,0.55,3.34,0.00,10.45,0.37,1.18,0.145,0.117,109622.7,56291.3,13,178,3.11,1.29,1.05,5.8748,606.54,45379.0,0.1149,5.0082,5461,13.6574,53,8.0236,59988.5,71.21,5.6445
