step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
4000,0,1,960,231.5478,196.68,441.89,66.17,7,35.23,15.377,3.937,0.2579,406.954
4000,0,2,5754,543.4824,241.10,27559.06,50.45,663,20.74,8.718,9.707,0.8068,513.859
4000,10,0,2857,174.8873,226.00,37.91,59.76,11,41.88,19.559,2.449,0.1054,260.507
4000,10,1,1330,218.9196,251.75,598.96,50.68,16,38.15,17.327,3.370,0.2070,467.360
4000,10,2,5258,651.0283,331.19,21221.03,49.79,519,23.28,10.180,8.980,0.6703,582.912
4000,20,0,3337,155.9108,211.91,39.74,61.44,9,41.60,19.458,2.611,0.0685,165.722
4000,20,1,1512,268.4307,290.61,717.79,51.47,22,37.10,16.874,3.819,0.2195,459.512
4000,20,2,3596,808.1753,583.92,12084.26,49.00,348,25.76,11.289,7.972,0.5709,596.396
4000,30,0,4730,266.8665,335.93,73.39,60.69,39,39.17,17.691,3.011,0.0880,182.227
4000,30,1,2052,344.5107,300.92,834.12,41.77,79,37.20,16.489,3.437,0.2165,402.837
4000,30,2,2492,568.0000,367.62,7359.24,44.53,256,28.95,12.301,6.293,0.5401,616.230
4000,40,0,4976,328.7402,391.42,58.68,55.70,41,35.96,15.179,3.363,0.0846,120.352
4000,40,1,1483,286.5850,237.91,621.48,35.86,57,36.87,15.569,2.948,0.2543,387.545
4000,40,2,1711,279.8102,191.94,4464.38,46.01,82,29.12,11.548,5.519,0.6139,563.201
4000,50,0,4772,266.3010,345.11,26.21,49.74,7,32.06,11.993,3.666,0.0727,61.884
4000,50,1,279,32.4226,28.02,108.31,26.28,6,34.86,13.447,2.692,0.3036,318.886
4000,50,2,665,146.9958,97.49,1435.67,50.36,38,28.52,10.281,4.915,0.7237,485.058
4000,60,0,3821,70.2235,109.74,11.15,41.08,4,28.61,8.572,3.404,0.0455,22.225
4000,60,1,30,20.4572,26.60,10.80,33.58,1,26.67,7.244,3.625,0.4570,135.609
4000,60,2,4,4.1418,3.71,6.92,41.03,0,21.60,5.223,5.676,0.9381,248.247
4000,70,0,4651,45.4516,87.96,7.11,33.92,1,29.68,6.147,1.103,0.0150,4.435
4000,70,1,5,6.5138,9.11,1.00,16.71,0,21.76,3.131,3.667,0.6346,83.790
4000,80,0,3564,19.5829,36.06,2.62,30.58,0,32.10,4.157,0.006,0.0051,0.002
5000,-60,0,2554,8.1915,28.92,51.01,-12.01,2,-8.62,0.000,23.705,0.3906,6.840
5000,-60,1,2621,13.4042,50.86,1027.62,-15.41,12,-10.57,0.000,25.608,0.6703,8.078
5000,-60,2,2559,12.4667,47.05,4480.39,-14.79,13,-13.50,0.000,28.508,0.9791,7.633
5000,-50,0,4605,166.2652,185.72,76.44,-7.53,41,1.28,0.153,15.818,0.3343,15.464
5000,-50,1,2298,141.1509,127.90,994.13,-7.14,44,-0.84,0.076,17.424,0.6025,23.472
5000,-50,2,1795,79.3159,69.96,4049.88,-5.80,36,-4.69,0.011,20.529,0.9106,22.360
5000,-40,0,4893,320.9317,220.82,77.02,0.18,118,11.71,2.287,10.388,0.3496,45.913
5000,-40,1,1564,158.5582,89.23,577.35,3.80,78,10.24,1.950,11.257,0.5417,64.992
5000,-40,2,1624,214.7781,128.34,4108.99,2.37,104,4.16,0.843,15.107,0.8622,66.272
5000,-30,0,2453,320.1801,158.05,42.65,5.94,158,20.13,5.993,7.321,0.4672,137.801
5000,-30,1,2110,269.1606,127.64,838.08,13.74,158,18.55,5.490,8.160,0.5151,143.185
5000,-30,2,3614,392.9189,213.01,12591.32,13.10,342,11.10,3.308,12.294,0.8783,150.551
5000,-20,0,1127,146.6917,82.63,16.84,4.70,24,27.85,10.343,5.211,0.2369,159.650
5000,-20,1,1299,159.4304,90.41,605.02,23.13,87,24.85,9.056,6.473,0.3713,211.035
5000,-20,2,5793,483.7869,233.96,25804.42,18.67,641,14.98,5.394,11.233,0.8753,253.476
5000,-10,0,1604,122.3346,102.74,29.61,11.61,20,33.94,14.168,3.856,0.2369,286.579
5000,-10,1,932,112.4838,70.73,415.78,26.96,22,30.95,12.683,4.920,0.3016,326.780
5000,-10,2,5688,569.0929,314.18,27498.84,24.78,676,18.47,7.411,10.319,0.8492,407.313
5000,0,0,1654,193.4552,240.73,25.38,12.45,10,38.19,16.943,2.974,0.1517,303.062
5000,0,1,961,174.0218,124.44,438.33,26.50,9,35.35,15.441,3.884,0.2403,421.627
5000,0,2,5752,501.2452,267.12,27708.51,28.84,638,21.14,8.969,9.600,0.7912,543.552
5000,10,0,2864,207.9055,270.54,37.77,9.21,19,39.50,17.861,2.762,0.1049,249.055
5000,10,1,1332,257.7907,258.65,599.25,35.72,18,36.80,16.420,3.610,0.2120,443.520
5000,10,2,5249,637.1790,382.20,21313.32,37.40,470,22.83,9.886,9.107,0.6790,546.805
5000,20,0,3362,183.2541,228.54,40.62,7.23,11,37.63,16.711,3.250,0.0821,161.715
5000,20,1,1489,319.1037,257.37,704.01,33.69,27,34.56,15.157,4.319,0.2409,402.568
