step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
240000,0,701,7.34,0.01,0.00,0.14,7.19,0.00,1.00,0.000,0.059,356529.6,6128.4,1,70,3.23,1.00,1.00,0.6859,5.10,116030.4,0.0000,34.7201,5462,33.9345
240000,1,696,7.14,0.00,0.05,0.01,7.08,0.00,1.00,0.000,0.057,352374.3,5854.4,1,55,3.20,1.00,1.00,0.6514,7.03,19647.3,0.4818,34.2861,5461,33.9283
240000,2,684,7.05,0.00,0.00,0.00,7.05,0.00,1.00,0.000,0.055,338293.3,5161.4,1,41,3.20,1.00,1.00,0.5763,6.29,200.1,2.1976,32.9809,5461,33.9283
250000,0,701,7.15,0.03,0.00,0.14,6.98,0.00,1.01,0.000,0.057,356524.7,6248.8,1,66,3.24,1.01,1.01,0.6991,12.93,116032.3,0.0000,34.7268,5462,33.9314
250000,1,695,7.39,0.00,0.00,0.12,7.27,0.00,1.00,0.000,0.059,351727.6,5885.0,1,64,3.27,1.00,1.00,0.6558,3.81,19615.5,0.4925,34.2711,5461,33.9252
250000,2,674,7.06,0.00,0.01,0.09,6.96,0.00,1.00,0.000,0.055,338370.3,5209.0,1,41,3.18,1.00,1.00,0.5817,8.12,189.8,2.2393,32.9898,5461,33.9252
260000,0,722,7.14,0.00,0.00,0.11,7.03,0.00,1.00,0.000,0.059,356496.3,6059.1,1,59,3.21,1.00,1.00,0.6763,4.40,116054.2,0.0000,34.7065,5462,33.9272
260000,1,697,7.11,0.04,0.00,0.04,7.03,0.00,1.01,0.000,0.057,352004.3,5780.4,1,45,3.20,1.01,1.01,0.6439,6.63,19611.9,0.5000,34.2763,5461,33.9210
260000,2,664,7.08,0.00,0.01,0.05,7.02,0.00,1.00,0.000,0.054,338379.1,5162.1,1,29,3.19,1.00,1.00,0.5759,2.77,180.2,2.2248,32.9824,5461,33.9210
270000,0,702,7.41,0.05,0.00,0.11,7.25,0.00,1.01,0.000,0.060,356309.7,6002.5,1,76,3.19,1.01,1.02,0.6695,8.11,116040.5,0.0000,34.7013,5462,33.9248
270000,1,717,7.26,0.06,0.04,0.06,7.10,0.00,1.01,0.000,0.059,351926.1,5770.2,1,49,3.22,1.00,1.02,0.6425,5.39,19589.1,0.4928,34.2830,5461,33.9186
270000,2,668,7.16,0.00,0.00,0.12,7.04,0.00,1.00,0.000,0.055,338225.1,5013.3,1,42,3.21,1.00,1.00,0.5586,9.22,173.3,2.2266,32.9731,5461,33.9186
280000,0,713,7.08,0.00,0.00,0.03,7.06,0.00,1.00,0.000,0.058,356472.8,6005.4,1,60,3.17,1.00,1.00,0.6696,6.74,116028.0,0.0000,34.7102,5462,33.9384
280000,1,709,7.19,0.00,0.01,0.09,7.09,0.00,1.00,0.000,0.058,351955.1,5741.9,1,53,3.24,1.00,1.00,0.6392,5.29,19599.0,0.5002,34.2876,5461,33.9322
280000,2,671,7.02,0.00,0.00,0.00,7.01,0.00,1.00,0.000,0.054,338478.3,5108.4,1,42,3.22,1.00,1.00,0.5688,5.54,189.9,2.2189,32.9960,5461,33.9322
290000,0,700,7.33,0.00,0.01,0.13,7.19,0.00,1.00,0.000,0.058,356564.5,6062.3,1,56,3.25,1.00,1.00,0.6768,4.77,116036.3,0.0000,34.7082,5462,33.9341
290000,1,695,7.14,0.00,0.00,0.02,7.12,0.00,1.00,0.000,0.057,351817.7,5800.3,1,38,3.19,1.00,1.00,0.6481,4.66,19641.9,0.4854,34.2857,5461,33.9279
290000,2,677,7.32,0.00,0.00,0.17,7.15,0.00,1.00,0.000,0.057,338357.9,5221.4,1,43,3.25,1.00,1.00,0.5835,5.01,188.7,2.2302,32.9912,5461,33.9279
300000,0,683,7.15,0.01,0.00,0.04,7.10,0.00,1.00,0.000,0.056,356358.3,5941.8,1,58,3.22,1.00,1.00,0.6639,9.07,116042.1,0.0000,34.6942,5462,33.9151
300000,1,697,7.03,0.03,0.01,0.00,7.00,0.00,1.00,0.000,0.056,351723.6,5764.6,1,46,3.21,1.00,1.01,0.6426,8.20,19623.3,0.5056,34.2558,5461,33.9088
300000,2,675,7.10,0.00,0.00,0.03,7.06,0.00,1.00,0.000,0.055,338300.1,5197.9,1,33,3.20,1.00,1.00,0.5791,8.24,198.4,2.2618,32.9771,5461,33.9088
310000,0,685,7.44,0.00,0.00,0.23,7.21,0.00,1.00,0.000,0.059,356560.6,5994.3,1,54,3.20,1.00,1.00,0.6673,6.78,116016.0,0.0000,34.7186,5462,33.9378
310000,1,701,7.36,0.00,0.00,0.15,7.21,0.00,1.00,0.000,0.059,351715.4,5921.6,1,60,3.22,1.01,1.01,0.6592,6.04,19606.5,0.4961,34.2843,5461,33.9316
310000,2,666,7.20,0.00,0.03,0.22,6.95,0.00,1.00,0.000,0.055,338284.1,5210.3,1,30,3.19,1.00,1.00,0.5814,7.75,182.4,2.2491,32.9996,5461,33.9316
320000,0,714,7.44,0.03,0.00,0.27,7.14,0.00,1.00,0.000,0.061,356149.7,5972.1,1,80,3.22,1.00,1.01,0.6657,7.47,115985.8,0.0000,34.7218,5462,33.9340
320000,1,697,7.12,0.00,0.00,0.05,7.07,0.00,1.00,0.000,0.057,351716.6,5645.3,1,50,3.18,1.00,1.00,0.6293,8.93,19608.9,0.4935,34.2701,5461,33.9277
320000,2,672,7.11,0.00,0.00,0.09,7.03,0.00,1.00,0.000,0.054,338422.4,5249.2,1,48,3.19,1.00,1.00,0.5851,9.41,197.7,2.2363,32.9918,5461,33.9277
330000,0,706,6.99,0.00,0.00,0.01,6.99,0.00,1.00,0.000,0.056,356400.8,6111.5,1,45,3.19,1.00,1.00,0.6828,8.61,116012.7,0.0000,34.7174,5462,33.9422
330000,1,700,7.41,0.06,0.01,0.02,7.32,0.00,1.01,0.000,0.059,352023.4,5788.0,1,44,3.21,1.00,1.02,0.6450,10.27,19622.2,0.4935,34.2936,5461,33.9360
330000,2,687,7.42,0.00,0.00,0.09,7.33,0.00,1.00,0.000,0.058,338315.0,5260.3,1,34,3.18,1.00,1.00,0.5882,12.18,195.3,2.2450,32.9989,5461,33.9360
340000,0,687,7.18,0.06,0.00,0.10,7.02,0.00,1.01,0.000,0.056,356828.9,6054.0,1,63,3.15,1.02,1.00,0.6763,8.02,116054.1,0.0000,34.7385,5462,33.9499
340000,1,692,7.10,0.00,0.01,0.06,7.03,0.00,1.00,0.000,0.056,352165.8,5998.9,1,53,3.18,1.00,1.00,0.6693,9.60,19598.7,0.4921,34.2950,5461,33.9437
340000,2,694,7.38,0.05,0.00,0.25,7.08,0.00,1.01,0.000,0.059,338457.1,5303.7,1,43,3.23,1.01,1.02,0.5906,5.31,214.0,2.2239,33.0015,5461,33.9437
350000,0,698,7.52,0.03,0.00,0.18,7.30,0.00,1.01,0.000,0.060,356477.9,6126.2,1,58,3.23,1.01,1.01,0.6852,12.62,115988.7,0.0000,34.7304,5462,33.9430
350000,1,689,7.29,0.05,0.01,0.00,7.22,0.00,1.02,0.000,0.058,351855.5,5929.2,1,43,3.21,1.02,1.02,0.6619,6.10,19643.4,0.4881,34.2892,5461,33.9368
350000,2,666,6.99,0.00,0.00,0.00,6.99,0.00,1.00,0.000,0.053,338575.6,5100.5,1,29,3.15,1.00,1.00,0.5697,6.90,181.3,2.2237,33.0034,5461,33.9368
360000,0,725,7.31,0.00,0.00,0.05,7.26,0.00,1.00,0.000,0.061,356908.2,6051.0,1,56,3.21,1.00,1.00,0.6745,5.24,116029.7,0.0000,34.7504,5462,33.9560
360000,1,711,7.13,0.00,0.01,0.15,6.96,0.00,1.00,0.000,0.058,352084.0,5785.7,1,49,3.17,1.00,1.00,0.6455,7.19,19628.3,0.4854,34.2946,5461,33.9498
360000,2,661,7.20,0.00,0.00,0.04,7.16,0.00,1.00,0.000,0.055,338624.3,5132.2,1,35,3.20,1.00,1.00,0.5721,7.87,183.5,2.2316,33.0034,5461,33.9498
370000,0,720,7.18,0.00,0.04,0.05,7.09,0.00,1.00,0.000,0.059,356835.5,6201.9,1,71,3.19,1.00,1.00,0.6931,9.28,116014.3,0.0000,34.7529,5462,33.9599
370000,1,670,6.97,0.00,0.00,0.00,6.97,0.00,1.00,0.000,0.053,352197.2,5818.1,1,55,3.20,1.00,1.00,0.6491,7.65,19638.7,0.4890,34.3072,5461,33.9537
370000,2,666,6.98,0.00,0.00,0.00,6.97,0.00,1.00,0.000,0.053,338460.9,5257.6,1,41,3.19,1.00,1.00,0.5873,8.73,191.5,2.2370,33.0080,5461,33.9537
380000,0,708,7.25,0.10,0.00,0.06,7.09,0.00,1.04,0.000,0.059,356854.6,5980.1,1,41,3.18,1.03,1.04,0.6671,5.75,116063.2,0.0000,34.7250,5462,33.9438
380000,1,688,7.13,0.00,0.01,0.04,7.08,0.00,1.00,0.000,0.056,352386.4,5775.1,1,48,3.21,1.00,1.00,0.6433,7.08,19642.4,0.4844,34.2940,5461,33.9376
380000,2,665,7.35,0.02,0.03,0.05,7.26,0.00,1.00,0.000,0.056,338489.5,5214.2,1,29,3.24,1.00,1.00,0.5810,5.39,190.9,2.2243,32.9899,5461,33.9376
390000,0,713,7.16,0.00,0.00,0.06,7.10,0.00,1.00,0.000,0.059,356342.5,6063.0,1,52,3.22,1.00,1.00,0.6758,7.58,115989.7,0.0000,34.7112,5462,33.9246
390000,1,689,7.30,0.00,0.00,0.09,7.20,0.00,1.00,0.000,0.057,351993.9,5727.9,1,49,3.25,1.00,1.00,0.6384,7.72,19613.3,0.5015,34.2664,5461,33.9184
390000,2,674,7.21,0.00,0.00,0.17,7.04,0.00,1.00,0.000,0.056,338556.2,5194.1,1,41,3.19,1.00,1.00,0.5800,6.41,199.2,2.2383,32.9886,5461,33.9184
400000,0,693,7.06,0.00,0.00,0.03,7.03,0.00,1.00,0.000,0.056,356579.6,5953.8,1,53,3.15,1.00,1.00,0.6641,6.95,116012.2,0.0000,34.7095,5462,33.9386
400000,1,715,7.10,0.00,0.00,0.15,6.95,0.00,1.00,0.000,0.058,352202.6,5877.0,1,54,3.23,1.00,1.00,0.6555,7.30,19612.3,0.4915,34.2982,5461,33.9324
400000,2,680,7.25,0.00,0.00,0.03,7.22,0.00,1.00,0.000,0.056,338395.1,5065.6,1,35,3.21,1.00,1.00,0.5652,6.45,198.1,2.2104,32.9888,5461,33.9324
410000,0,713,7.30,0.05,0.00,0.05,7.20,0.00,1.01,0.000,0.060,356481.0,5985.3,1,65,3.18,1.00,1.02,0.6686,6.29,115982.5,0.0000,34.7408,5462,33.9402
410000,1,717,7.13,0.00,0.00,0.05,7.08,0.00,1.00,0.000,0.058,351701.6,5759.2,1,56,3.19,1.00,1.00,0.6403,4.51,19618.4,0.4814,34.2606,5461,33.9340
410000,2,671,7.08,0.06,0.01,0.04,6.97,0.00,1.02,0.000,0.054,338532.5,5224.1,1,25,3.20,1.02,1.01,0.5837,10.11,170.5,2.2121,33.0076,5461,33.9340
420000,0,694,7.10,0.00,0.00,0.07,7.03,0.00,1.00,0.000,0.057,356406.6,5822.7,1,54,3.17,1.00,1.00,0.6491,6.81,116073.4,0.0000,34.6771,5462,33.9177
420000,1,714,7.10,0.00,0.01,0.00,7.09,0.00,1.00,0.000,0.057,351794.5,5746.4,1,59,3.17,1.00,1.00,0.6405,6.42,19599.2,0.4963,34.2688,5461,33.9115
420000,2,687,7.11,0.00,0.00,0.03,7.08,0.00,1.00,0.000,0.056,338252.3,5115.3,1,45,3.18,1.00,1.00,0.5702,3.78,178.1,2.2361,32.9786,5461,33.9115
430000,0,711,7.18,0.05,0.00,0.12,7.00,0.00,1.01,0.000,0.058,356141.7,5959.1,1,57,3.20,1.01,1.02,0.6641,4.80,115984.6,0.0000,34.7072,5462,33.9198
430000,1,682,7.16,0.00,0.02,0.00,7.13,0.00,1.00,0.000,0.056,351430.2,5695.4,1,46,3.18,1.00,1.00,0.6349,5.86,19611.6,0.4944,34.2527,5461,33.9136
