step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,6,6,0,0,0,6,0,1.00,22,0.000,2208,1.36,159.52,0.00,29,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2192,1.73,111.74,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2186,1.49,129.56,0.00,101,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2183,2.03,178.56,0.00,147,8,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2181,1.65,189.56,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2180,2.05,202.61,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2177,1.42,109.37,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2174,2.40,190.53,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2162,1.41,125.02,0.00,70,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2157,0.76,159.69,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2157,1.20,120.86,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2153,2.05,117.32,0.00,204,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2152,0.44,97.00,0.00,101,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2150,2.29,169.98,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2149,2.27,130.46,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2149,1.30,160.68,0.00,101,8,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2148,2.81,194.92,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2145,2.24,122.92,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2133,2.00,110.34,0.00,147,8,8
100000,6,6,0,0,0,6,0,1.00,22,0.000,2132,0.60,140.84,0.00,204,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2130,1.68,124.62,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2129,1.30,160.20,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2129,1.74,127.95,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2127,1.23,137.67,0.00,29,8,8
100000,11,11,0,0,0,11,0,1.00,12,0.000,2117,2.67,190.38,0.00,101,8,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2116,2.30,194.20,0.00,101,8,8
100000,4,16,0,0,0,4,0,1.00,22,0.000,2113,2.20,233.19,0.00,191,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,2107,1.42,120.24,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2106,0.63,102.96,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2082,1.79,120.22,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2081,1.80,121.82,0.00,101,8,8
