step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
690000,0,61,11.41,0.10,0.28,1.74,9.30,0.00,1.02,0.000,5,525.7,154.4,3,60
700000,8,1628,6.31,0.20,0.06,0.04,6.01,0.01,1.07,0.002,5,812428.1,1054.8,9,20
700000,1,744,26.01,11.01,1.08,0.32,13.60,0.44,4.19,0.171,59,815364.4,129828.6,9,14
700000,0,47,12.02,4.11,0.17,0.00,7.74,0.09,2.20,0.043,4,426.9,80.3,7,47
710000,8,1567,7.06,0.23,0.11,0.06,6.65,0.02,1.07,0.004,6,806856.2,5933.7,7,20
710000,1,668,29.48,15.03,1.21,0.44,12.80,0.49,5.30,0.178,49,823092.4,141150.2,9,14
710000,0,67,10.94,0.73,0.06,0.01,10.13,0.03,1.17,0.015,2,507.3,96.1,5,66
720000,8,1622,6.12,0.10,0.06,0.09,5.87,0.00,1.03,0.001,6,811914.2,3177.5,8,33
720000,1,770,25.04,10.16,1.38,0.06,13.44,0.44,3.93,0.148,66,806966.1,135829.8,8,28
720000,0,66,11.45,3.48,0.59,0.00,7.38,0.21,1.98,0.061,2,497.6,117.0,8,66
730000,8,1595,6.95,0.34,0.05,0.15,6.41,0.01,1.10,0.004,6,811457.6,3450.4,9,25
730000,1,739,25.21,10.65,1.27,0.06,13.24,0.43,4.05,0.146,52,817562.8,146217.9,8,9
730000,0,51,7.53,1.00,0.22,0.00,6.31,0.08,1.29,0.020,2,419.4,77.0,4,51
740000,8,1607,6.45,0.16,0.06,0.14,6.09,0.00,1.06,0.002,7,813017.6,1912.8,6,11
740000,1,811,23.16,9.47,0.92,0.22,12.55,0.38,3.72,0.126,50,817730.2,143286.0,9,12
740000,0,75,13.00,3.57,0.48,0.03,8.92,0.23,2.00,0.067,3,465.1,183.5,8,74
750000,8,1650,6.24,0.19,0.03,0.06,5.96,0.00,1.08,0.001,11,815906.9,2834.5,10,65
750000,1,869,21.36,9.11,0.79,0.31,11.15,0.32,3.58,0.114,95,818178.2,139095.7,10,41
750000,0,45,11.24,2.76,0.33,0.31,7.84,0.13,1.67,0.067,2,476.2,189.8,7,45
760000,8,1629,6.36,0.34,0.13,0.10,5.78,0.02,1.11,0.006,11,806643.3,5036.3,11,59
760000,1,747,23.58,11.03,1.20,0.30,11.05,0.48,4.15,0.169,75,820528.8,158611.7,11,25
760000,0,75,9.87,1.49,0.71,0.00,7.67,0.13,1.41,0.027,2,625.9,181.5,10,75
770000,8,1658,6.09,0.25,0.04,0.05,5.74,0.00,1.08,0.001,7,808192.8,1957.6,8,6
770000,1,741,25.83,12.82,1.15,0.06,11.80,0.48,4.67,0.189,66,816037.8,151406.5,9,3
770000,0,60,17.22,7.92,0.50,0.25,8.55,0.17,3.20,0.083,2,645.7,217.8,12,60
780000,8,1665,5.90,0.18,0.05,0.07,5.60,0.00,1.07,0.001,6,814278.5,964.7,11,13
780000,1,760,25.61,13.48,1.10,0.24,10.79,0.41,4.79,0.159,66,805911.3,149131.1,10,1
780000,0,66,10.82,2.44,0.50,0.41,7.47,0.09,1.65,0.030,2,695.1,130.4,10,66
790000,8,1691,5.85,0.39,0.08,0.03,5.35,0.01,1.13,0.004,16,814390.4,1236.0,11,75
790000,1,796,23.10,10.74,1.06,0.24,11.06,0.45,4.11,0.160,74,814109.2,156422.2,9,66
790000,0,68,9.65,1.35,0.41,0.09,7.79,0.04,1.35,0.015,2,514.6,132.1,9,68
800000,8,1586,6.44,0.25,0.09,0.05,6.05,0.01,1.08,0.003,6,806336.1,2104.5,10,9
800000,1,778,24.96,11.35,1.44,0.33,11.84,0.46,4.29,0.172,86,820527.1,158862.0,12,5
800000,0,50,14.62,2.98,0.64,0.00,11.00,0.10,1.78,0.060,2,401.5,96.4,10,50
810000,8,1663,6.03,0.33,0.04,0.08,5.58,0.01,1.10,0.003,6,810729.4,652.6,13,15
810000,1,784,24.19,11.31,1.09,0.22,11.57,0.44,4.23,0.162,67,812799.6,146084.7,11,12
810000,0,71,11.42,1.51,0.82,0.04,9.06,0.21,1.35,0.056,2,442.1,132.7,10,71
820000,8,1592,6.23,0.61,0.08,0.06,5.47,0.03,1.20,0.009,9,815764.8,781.7,12,48
820000,1,787,23.84,11.35,1.04,0.20,11.25,0.43,4.24,0.158,64,815985.8,145658.5,11,19
820000,0,70,8.49,0.83,0.39,0.00,7.27,0.11,1.18,0.029,2,470.2,140.3,8,70
830000,8,1729,5.77,0.37,0.04,0.04,5.32,0.01,1.12,0.005,7,811634.3,1399.9,10,20
830000,1,838,22.70,9.19,1.12,0.17,12.21,0.44,3.65,0.163,63,824283.9,146352.4,11,15
830000,0,62,10.48,0.66,1.69,0.00,8.13,0.02,1.17,0.016,2,442.5,166.9,8,61
840000,8,1672,5.55,0.24,0.03,0.09,5.18,0.01,1.08,0.002,6,818593.4,235.0,12,12
840000,1,881,21.56,8.22,0.92,0.10,12.32,0.35,3.37,0.126,69,820785.7,154699.8,7,6
