step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,8,8,0,0,0,8,0,1.00,16,0.000,1276,2.66,41.59,76.16,35,0,0,0,1.00,1.00,1.00,6,8,8,23.9,30.624
100000,8,8,0,0,0,8,0,1.00,16,0.000,1263,2.03,77.75,22.38,35,0,0,0,1.00,1.00,1.00,3,2,8,3.4,30.312
100000,8,8,0,0,0,8,0,1.00,16,0.000,1246,2.09,40.03,36.06,35,1,1,0,1.00,1.00,1.00,5,2,8,31.1,29.904
100000,10,10,0,0,0,10,0,1.00,12,0.000,1238,2.93,148.43,14.87,35,0,0,0,1.00,1.00,1.00,3,2,8,20.3,32.187
100000,8,8,0,0,0,8,0,1.00,16,0.000,1227,1.00,83.20,34.03,35,0,0,0,1.00,1.00,1.00,3,2,8,19.8,29.448
100000,7,7,0,0,0,7,0,1.00,18,0.000,1215,1.35,101.42,7.62,266,0,0,0,1.00,1.00,1.00,3,3,4,14.4,27.945
100000,8,8,0,0,0,8,0,1.00,16,0.000,1214,0.18,78.11,36.43,35,0,0,0,1.00,1.00,1.00,3,2,8,25.2,29.136
100000,8,8,0,0,0,8,0,1.00,16,0.000,1207,2.49,100.01,29.31,35,1,1,0,1.00,1.00,1.00,3,2,8,26.7,28.968
100000,14,14,0,0,0,14,0,1.00,10,0.000,1202,1.92,223.24,77.12,35,0,0,0,1.00,1.00,1.00,6,3,8,5.2,36.060
100000,8,8,0,0,0,8,0,1.00,16,0.000,1196,1.33,53.85,16.36,35,2,2,0,1.00,1.00,1.00,3,2,8,51.2,28.704
100000,10,10,0,0,0,10,0,1.00,12,0.000,1187,1.91,137.39,6.89,35,0,0,0,1.00,1.00,1.00,3,2,8,17.0,30.861
100000,13,13,0,0,0,13,0,1.00,10,0.000,1186,0.92,46.39,61.27,180,0,1,0,1.00,1.00,1.00,4,3,8,24.9,34.394
100000,10,10,0,0,0,10,0,1.00,12,0.000,1175,1.67,192.42,38.64,35,0,0,0,1.00,1.00,1.00,5,2,8,17.4,30.549
100000,26,26,0,0,0,26,0,1.00,4,0.000,1163,2.31,408.29,77.50,35,0,0,0,1.00,1.00,1.00,7,8,8,14.7,48.846
100000,12,12,0,0,0,12,0,1.00,10,0.000,1163,2.36,108.89,75.09,35,0,0,0,1.00,1.00,1.00,2,3,8,12.1,32.564
100000,10,10,0,0,0,10,0,1.00,12,0.000,1161,2.91,138.11,19.91,35,0,0,0,1.00,1.00,1.00,3,2,8,15.7,30.186
100000,9,9,0,0,0,9,0,1.00,16,0.000,1148,1.05,60.90,11.48,222,2,2,0,1.00,1.00,1.00,6,2,6,54.4,28.700
100000,7,7,0,0,0,7,0,1.00,18,0.000,1146,2.14,106.90,33.20,272,0,0,0,1.00,1.00,1.00,2,3,4,21.3,26.358
100000,8,8,0,0,0,8,0,1.00,16,0.000,1139,0.21,16.68,49.56,35,1,0,0,1.00,1.00,1.00,3,2,8,32.8,27.336
100000,10,10,0,0,0,10,0,1.00,16,0.000,1136,2.14,44.60,39.44,222,2,2,0,1.00,1.00,1.00,4,2,6,39.6,29.536
100000,14,14,0,0,0,14,0,1.00,10,0.000,1131,2.65,225.63,39.04,35,0,0,0,1.00,1.00,1.00,3,3,8,5.9,33.930
100000,8,8,0,0,0,8,0,1.00,16,0.000,1126,2.78,113.67,41.20,35,0,0,0,1.00,1.00,1.00,3,2,8,5.2,27.024
100000,10,10,0,0,0,10,0,1.00,12,0.000,1122,2.01,108.92,102.40,35,0,0,0,1.00,1.00,1.00,3,2,8,9.6,29.172
100000,12,12,0,0,0,12,0,1.00,10,0.000,1117,1.65,115.50,28.06,180,1,2,0,1.00,1.00,1.00,4,3,8,33.4,31.276
100000,10,10,0,0,2,8,0,1.00,14,0.000,1114,2.50,84.01,55.44,35,0,0,0,1.00,1.00,1.00,7,8,8,19.6,28.964
100000,10,10,0,0,0,10,0,1.00,12,0.000,1110,1.81,75.59,9.49,35,0,0,0,1.00,1.00,1.00,3,2,8,15.6,28.860
100000,4,4,0,0,0,4,0,1.00,22,0.000,1095,1.18,35.55,12.05,35,0,0,0,1.00,1.00,1.00,3,8,1,20.8,21.900
100000,11,11,0,0,0,11,0,1.00,10,0.000,1092,0.43,60.15,12.71,180,2,1,0,1.00,1.00,1.00,4,3,8,48.1,29.484
100000,10,10,0,0,0,10,0,1.00,12,0.000,1091,2.08,70.37,42.22,35,0,0,0,1.00,1.00,1.00,5,2,8,23.7,28.366
100000,14,14,0,0,0,14,0,1.00,10,0.000,1090,3.33,115.99,67.40,35,0,0,0,1.00,1.00,1.00,5,3,8,2.9,32.700
100000,8,8,0,0,0,8,0,1.00,16,0.000,1080,2.28,68.92,18.61,35,0,0,0,1.00,1.00,1.00,3,2,8,11.7,25.920
100000,8,8,0,0,0,8,0,1.00,16,0.000,1074,0.94,59.74,41.12,35,1,1,0,1.00,1.00,1.00,3,2,8,30.5,25.776
100000,10,10,0,0,0,10,0,1.00,12,0.000,1074,1.53,79.64,18.44,35,0,0,0,1.00,1.00,1.00,5,2,8,3.9,27.924
100000,10,10,0,0,0,10,0,1.00,12,0.000,1068,1.98,97.58,30.22,35,0,0,0,1.00,1.00,1.00,3,2,8,17.3,27.768
100000,12,12,0,0,0,12,0,1.00,10,0.000,1063,1.60,230.77,2.64,180,0,0,0,1.00,1.00,1.00,3,3,8,20.8,29.764
