step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
200000,56,40,0,0,16,0,0.000,1701,6.52,319.19,0.00
200000,58,40,0,0,18,0,0.000,1692,6.77,312.95,0.00
200000,54,40,0,0,14,0,0.000,1685,1.93,297.23,0.00
200000,56,41,0,0,15,0,0.000,1635,4.87,302.54,0.00
200000,64,28,20,0,16,20,0.312,1506,2.03,264.71,119.10
200000,64,43,2,0,19,2,0.031,1502,5.24,292.21,31.90
200000,56,40,0,0,16,0,0.000,1439,3.79,272.27,0.00
200000,57,41,0,0,16,0,0.000,1349,3.89,242.39,0.00
200000,54,40,0,0,14,0,0.000,1329,1.77,228.23,0.00
200000,54,40,0,0,14,0,0.000,1324,0.61,233.69,0.00
200000,57,41,0,0,16,0,0.000,1323,5.47,258.90,0.00
200000,54,40,0,0,14,0,0.000,1303,3.48,225.73,0.00
200000,54,40,0,0,14,0,0.000,1300,6.05,227.88,0.00
200000,56,40,0,0,16,0,0.000,1295,1.13,230.16,0.00
200000,56,40,0,0,16,0,0.000,1290,5.73,233.97,0.00
200000,64,28,20,0,16,20,0.312,1273,8.04,233.52,93.20
200000,54,40,0,0,14,0,0.000,1257,4.76,230.76,0.00
200000,54,40,0,0,14,0,0.000,1251,3.44,235.85,0.00
200000,64,43,2,0,19,2,0.031,1245,6.90,247.69,24.82
200000,64,43,2,0,19,2,0.031,1238,8.09,254.52,26.85
200000,54,40,0,0,14,0,0.000,1205,5.24,230.24,0.00
200000,54,40,0,0,14,0,0.000,1203,5.12,207.47,0.00
200000,57,41,0,0,16,0,0.000,1191,4.74,220.10,0.00
200000,54,40,0,0,14,0,0.000,1185,6.79,213.61,0.00
200000,56,40,0,0,16,0,0.000,1183,6.05,220.09,0.00
200000,54,40,0,0,14,0,0.000,1157,1.16,196.05,0.00
200000,54,40,0,0,14,0,0.000,1130,6.20,207.84,0.00
200000,54,40,0,0,14,0,0.000,1124,4.08,193.58,0.00
200000,54,40,0,0,14,0,0.000,1113,5.14,189.15,0.00
200000,54,40,0,0,14,0,0.000,1104,5.44,191.70,0.00
200000,54,40,0,0,14,0,0.000,1069,3.41,187.81,0.00
200000,54,40,0,0,14,0,0.000,1052,6.67,191.98,0.00
200000,54,40,0,0,14,0,0.000,1034,0.77,168.27,0.00
200000,54,40,0,0,14,0,0.000,1024,3.81,177.09,0.00
200000,64,43,2,0,19,2,0.031,999,4.79,198.97,25.15
200000,54,40,0,0,14,0,0.000,992,6.41,170.78,0.00
200000,57,41,0,0,16,0,0.000,986,6.17,182.49,0.00
200000,64,43,2,0,19,2,0.031,986,4.70,192.81,15.10
200000,54,40,0,0,14,0,0.000,952,3.50,165.18,0.00
