step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
550000,240,4.257,0.154,9.91,16372,5535,57,10625,155,595,409861.5,22669.3,0.000,0.192,0.172,0.017,0.619,1913,54.42,14.28,34.42,13.33,2.34,5.83,0.00,0.00,17.65,4.55,1.90,5.04,0.046,0.126,39,0.358,0.771,0.217,0.000,0.013
560000,243,4.031,0.140,9.46,15413,5534,68,9679,129,728,410079.7,20939.3,0.000,0.163,0.191,0.023,0.622,2101,52.46,17.37,31.39,14.94,3.33,6.72,0.00,0.00,17.74,4.95,2.86,6.30,0.057,0.111,60,0.399,0.790,0.193,0.000,0.016
570000,239,4.208,0.141,9.68,16713,5448,81,10988,200,932,410005.8,22377.5,0.000,0.173,0.206,0.039,0.581,2114,55.95,13.51,33.53,14.49,3.02,6.66,0.00,0.00,19.41,2.86,2.79,6.25,0.050,0.114,42,0.448,0.812,0.176,0.000,0.013
580000,236,4.269,0.140,9.67,13848,5481,86,8172,112,576,409772.3,17978.8,0.000,0.161,0.225,0.047,0.568,2360,58.75,9.07,35.51,11.54,3.79,7.38,0.00,0.00,19.45,3.13,3.58,6.96,0.061,0.118,43,0.534,0.809,0.178,0.000,0.013
590000,234,4.278,0.141,10.41,12610,5458,80,6970,104,562,409527.4,15175.6,0.001,0.162,0.250,0.038,0.550,2588,58.50,5.14,36.71,7.07,1.37,4.87,0.00,0.00,20.41,3.30,1.14,3.83,0.022,0.077,51,0.248,0.872,0.124,0.000,0.004
600000,247,4.017,0.132,10.32,13819,5307,83,8285,131,531,409560.4,17948.7,0.001,0.124,0.283,0.041,0.552,2240,54.12,17.95,31.43,15.37,3.00,6.33,0.00,0.00,19.68,4.56,2.60,5.87,0.057,0.115,57,0.194,0.749,0.239,0.000,0.012
610000,235,4.182,0.137,10.32,14035,5258,90,8485,214,534,409782.5,17017.7,0.000,0.113,0.267,0.054,0.566,2175,56.05,11.73,33.99,10.78,2.14,5.97,0.00,0.00,19.91,3.33,1.74,4.45,0.036,0.098,52,0.285,0.821,0.162,0.000,0.017
620000,240,4.010,0.147,10.93,21674,4971,46,16384,268,965,409780.4,32577.6,0.001,0.118,0.241,0.039,0.601,1626,55.36,14.59,33.23,14.15,1.00,3.81,0.00,0.00,21.12,5.60,0.90,3.53,0.019,0.083,70,0.321,0.917,0.062,0.000,0.021
630000,252,4.013,0.148,11.76,18891,6079,61,12459,280,731,410124.6,24225.4,0.001,0.185,0.247,0.050,0.518,1438,52.39,10.77,30.92,11.89,1.05,3.87,0.00,0.00,20.42,5.86,0.88,3.52,0.019,0.070,96,0.175,0.925,0.063,0.000,0.012
640000,230,3.953,0.157,12.10,18466,6605,49,11612,222,628,409426.1,24239.5,0.001,0.295,0.239,0.035,0.429,1363,55.18,10.10,34.50,9.88,3.90,7.44,0.00,0.00,16.78,2.76,3.72,7.29,0.065,0.126,41,0.391,0.730,0.270,0.000,0.000
650000,234,3.973,0.144,13.26,12946,6209,58,6615,60,398,409502.4,16735.5,0.000,0.249,0.220,0.056,0.475,1768,56.33,12.57,35.38,12.15,2.12,5.81,0.00,0.00,18.83,4.05,1.95,5.52,0.035,0.093,65,0.158,0.846,0.150,0.000,0.004
660000,238,3.856,0.174,12.61,13349,5809,135,7290,111,387,408952.0,16014.5,0.000,0.255,0.317,0.076,0.351,1728,54.96,15.95,31.93,13.80,7.16,9.70,0.00,0.00,15.87,3.80,6.62,8.96,0.113,0.151,46,0.303,0.580,0.403,0.000,0.017
670000,240,4.166,0.147,13.26,12019,5920,135,5885,77,316,409305.5,13976.3,0.001,0.256,0.271,0.088,0.385,1723,58.49,5.83,38.31,7.70,2.04,6.12,0.00,0.00,18.14,4.95,1.67,5.28,0.034,0.103,61,0.329,0.913,0.079,0.000,0.008
680000,250,3.827,0.141,12.95,13263,6067,137,6902,147,355,409161.8,15134.2,0.000,0.237,0.263,0.112,0.388,1563,54.84,7.28,36.14,9.79,1.37,4.81,0.00,0.00,17.34,5.38,0.48,2.34,0.027,0.092,70,0.396,0.900,0.068,0.000,0.032
690000,304,3.287,0.126,12.90,12404,6181,142,5948,79,340,409432.1,13942.5,0.000,0.261,0.263,0.083,0.393,1733,44.34,21.38,27.36,17.70,1.73,5.24,0.00,0.00,15.25,6.69,1.21,4.42,0.037,0.115,73,0.214,0.868,0.099,0.000,0.033
700000,244,3.972,0.141,13.55,12224,6023,139,6043,79,341,409733.1,13598.9,0.000,0.277,0.247,0.072,0.404,1726,56.44,5.03,38.25,7.55,0.84,3.58,0.00,0.00,17.35,4.81,0.59,2.80,0.016,0.069,66,0.242,0.955,0.033,0.000,0.012
710000,244,4.123,0.141,14.39,12803,6083,150,6496,74,308,410106.3,14669.6,0.000,0.282,0.247,0.075,0.396,1571,56.76,6.39,37.69,8.00,1.20,4.18,0.00,0.00,17.86,4.85,1.02,3.66,0.020,0.068,69,0.193,0.914,0.070,0.000,0.016
720000,241,3.988,0.143,13.95,10573,6176,155,4220,25,184,410124.2,10467.1,0.000,0.313,0.269,0.141,0.277,1765,55.24,5.83,36.07,6.83,1.25,3.57,0.00,0.00,17.93,4.03,1.05,3.01,0.024,0.079,85,0.224,0.876,0.108,0.000,0.017
730000,255,4.003,0.136,13.80,13398,7292,57,5969,66,339,409931.6,14323.2,0.000,0.295,0.193,0.133,0.378,1519,53.51,9.38,33.41,8.86,2.50,6.02,0.00,0.00,17.60,6.61,2.20,5.58,0.048,0.113,71,0.318,0.867,0.122,0.000,0.012
