step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
85000,5793,0.4725,44178.6,402,1974,2012,1807,144,139,138,14680,18363,21762,0,0,0,1.000,1.000,1.000,1513,397,10,0.3651,0.1524,0.4916,0.0519
86000,5812,0.4744,44117.6,404,1995,2016,1801,132,161,149,14449,18316,20925,0,0,0,1.000,1.000,1.000,1494,400,10,0.3808,0.1512,0.4976,0.0499
87000,5731,0.4746,42274.8,402,1943,1994,1794,138,160,131,15470,18533,21310,0,0,0,1.000,1.000,1.000,1505,411,12,0.3880,0.1418,0.5126,0.0496
88000,5692,0.4613,40683.1,383,1997,1970,1725,123,140,138,16618,19459,22034,0,0,0,1.000,1.000,1.000,1530,396,15,0.3743,0.1524,0.5135,0.0523
89000,5297,0.4535,38051.1,382,1922,1846,1529,162,134,138,17416,21430,23821,0,0,0,1.000,1.000,1.000,1500,377,15,0.3708,0.1391,0.5333,0.0520
90000,4814,0.4601,34130.3,378,1819,1628,1367,132,149,152,18106,22866,26642,0,0,0,1.000,1.000,1.000,1397,354,17,0.3818,0.1385,0.5573,0.0492
91000,4309,0.4846,30281.0,364,1658,1493,1158,139,137,144,18826,26361,30560,0,0,0,1.000,1.000,1.000,1251,345,10,0.3500,0.1475,0.5682,0.0535
92000,3340,0.4614,23800.6,375,1521,1063,756,133,119,137,20465,30413,35190,0,0,0,1.000,1.000,1.000,1191,265,6,0.3328,0.1574,0.6243,0.0561
93000,2470,0.4939,18640.2,401,1337,724,409,103,111,105,20961,34669,40336,0,0,0,1.000,1.000,1.000,1048,205,6,0.2991,0.1793,0.6591,0.0623
94000,1810,0.4829,13321.7,418,1192,409,209,61,120,77,20426,38448,45038,0,0,0,1.000,1.000,1.000,977,111,1,0.2150,0.2242,0.6625,0.0676
95000,1489,0.4614,11069.0,391,1169,257,63,60,110,50,20348,41440,49064,0,0,0,1.000,1.000,1.000,926,91,0,0.1404,0.3285,0.5496,0.0857
96000,1261,0.4465,9128.9,390,1024,188,49,40,105,39,19116,41596,50223,0,0,0,1.000,1.000,1.000,827,61,0,0.2087,0.2026,0.7024,0.0751
97000,1769,0.4370,13146.6,344,1100,482,187,67,134,100,17125,37687,46870,0,0,0,1.000,1.000,1.000,894,149,0,0.3309,0.1789,0.7174,0.0612
98000,2756,0.4213,19736.3,329,1332,810,614,120,134,138,14589,31709,41386,0,0,0,1.000,1.000,1.000,1031,211,12,0.4128,0.1256,0.6590,0.0507
99000,3717,0.4221,24688.1,315,1602,1221,894,128,135,146,14118,28370,37676,0,0,0,1.000,1.000,1.000,1248,286,10,0.3907,0.1194,0.6007,0.0513
100000,4475,0.4362,29645.8,312,1694,1523,1258,140,142,154,13042,24943,33157,0,0,0,1.000,1.000,1.000,1287,335,5,0.3979,0.1513,0.5718,0.0485
