step,cause,age,size,mass,n,worn
10000,hunger,100,60,96,1,0
10000,hunger,100,60,100,1,0
10000,hunger,100,60,104,2,0
10000,hunger,100,60,108,1,0
10000,hunger,100,60,112,1,0
10000,hunger,100,60,116,1,0
10000,hunger,100,64,32,1,0
10000,hunger,100,64,36,1,0
10000,hunger,100,64,40,5,0
10000,hunger,100,64,44,9,0
10000,hunger,100,64,48,6,0
10000,hunger,100,64,52,16,0
10000,hunger,100,64,56,22,0
10000,hunger,100,64,60,36,0
10000,hunger,100,64,64,29,0
10000,hunger,100,64,68,35,0
10000,hunger,100,64,72,31,0
10000,hunger,100,64,76,13,0
10000,hunger,100,64,80,7,0
10000,hunger,100,64,84,7,0
10000,hunger,100,64,88,13,1
10000,hunger,100,64,92,12,0
10000,hunger,100,64,96,6,0
10000,hunger,100,64,100,5,0
10000,hunger,100,64,104,4,0
10000,hunger,100,64,112,6,0
10000,hunger,100,64,116,5,0
10000,hunger,100,64,120,4,0
10000,hunger,100,64,124,2,0
10000,hunger,100,64,136,1,0
10000,hunger,100,68,44,2,0
10000,hunger,100,68,68,2,0
10000,hunger,100,68,88,1,0
10000,hunger,100,72,64,1,0
10000,hunger,100,72,68,3,0
10000,hunger,100,72,72,1,0
10000,hunger,100,72,84,1,0
10000,hunger,100,72,92,1,0
10000,hunger,100,76,56,1,0
10000,hunger,100,76,60,1,0
10000,hunger,100,76,68,1,0
10000,hunger,100,76,72,1,0
10000,hunger,100,76,96,2,0
10000,hunger,100,76,116,1,0
10000,hunger,100,76,124,1,0
10000,hunger,100,76,180,1,0
10000,hunger,100,80,52,1,0
10000,hunger,100,80,56,2,0
10000,hunger,100,80,60,3,0
10000,hunger,100,80,68,1,0
10000,hunger,100,80,72,3,0
10000,hunger,100,80,76,6,0
10000,hunger,100,80,80,4,0
10000,hunger,100,80,84,4,0
10000,hunger,100,80,88,7,0
10000,hunger,100,80,92,11,0
10000,hunger,100,80,96,3,0
10000,hunger,100,80,100,1,0
10000,hunger,100,80,108,6,0
10000,hunger,100,80,112,6,0
10000,hunger,100,80,116,4,0
10000,hunger,100,80,120,3,0
10000,hunger,100,80,124,1,0
10000,hunger,100,80,128,1,0
10000,hunger,100,80,168,1,0
10000,hunger,100,88,100,1,1
10000,hunger,100,92,104,1,0
10000,hunger,100,96,88,1,0
10000,hunger,100,100,88,3,0
10000,hunger,100,100,92,1,0
10000,hunger,100,100,100,2,0
10000,hunger,100,100,108,2,0
10000,hunger,100,100,112,3,0
10000,hunger,100,100,120,1,0
10000,hunger,100,100,124,1,0
10000,hunger,100,100,132,1,0
10000,hunger,100,100,144,1,0
10000,hunger,100,100,148,1,0
10000,hunger,100,100,152,3,0
10000,hunger,100,100,156,1,0
10000,hunger,100,100,168,1,0
10000,hunger,100,100,176,1,0
10000,hunger,100,100,188,1,0
10000,hunger,100,100,228,1,0
10000,hunger,100,120,88,1,0
10000,hunger,100,120,116,1,1
10000,hunger,100,120,136,1,0
10000,hunger,100,120,148,1,0
10000,hunger,100,120,192,2,0
10000,hunger,100,120,196,1,0
10000,hunger,100,120,200,1,0
10000,hunger,100,144,156,1,0
10000,hunger,100,168,280,1,0
