step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
330000,0,8,12.50,0.00,0.00,0.00,12.50,0.00,1.00,0.000,0.000,5348.4,2077.4,1,7,2.75,1.00,1.00,0.2865,0.93,105216.2,0.0000,0.0000,11647
340000,8,492,10.20,0.02,0.00,0.05,10.13,0.00,1.01,0.000,0.071,273301.6,4542.0,3,10,2.16,1.01,1.00,0.5267,6.95,33563.6,15.1824,27.2586,4437
340000,1,14,10.64,0.43,0.00,0.00,10.21,0.00,1.12,0.000,0.103,8538.8,234.9,3,9,2.21,1.21,1.00,0.0272,0.00,45.1,48.8483,0.9525,84
340000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,450.2,20.8,1,2,2.00,1.00,1.00,0.0082,0.68,104332.2,0.0000,0.0000,11863
350000,8,525,11.11,0.02,0.06,0.16,10.87,0.00,1.01,0.002,0.087,283505.3,4838.0,4,2,2.32,1.01,1.00,0.5543,7.69,33772.6,13.0192,28.2487,4168
350000,1,4,8.75,0.00,0.00,2.25,6.50,0.00,1.00,0.000,0.023,5563.7,81.3,1,1,3.00,1.00,1.00,0.0099,0.18,81.5,58.8818,0.6338,96
350000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,411.6,8.8,1,2,1.50,1.00,1.00,0.0052,0.47,103395.3,0.0000,0.0000,12120
360000,8,361,10.44,0.06,0.03,0.07,10.28,0.00,1.03,0.000,0.073,249426.9,4022.5,3,0,2.33,1.03,1.01,0.4669,5.68,26321.5,19.1386,24.8558,3218
360000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,3137.3,45.3,0,0,-0.00,-0.00,-0.00,0.0058,0.00,1.4,68.1856,0.3843,98
360000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1948.7,82.1,0,0,-0.00,-0.00,-0.00,0.0169,0.58,112190.2,0.0000,0.0000,13068
370000,8,342,8.61,0.01,0.00,0.02,8.57,0.00,1.00,0.000,0.048,152739.8,1691.1,2,0,2.44,1.01,1.00,0.2196,3.46,30484.5,39.9472,15.2429,3842
370000,1,5,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.024,194.3,0.9,1,2,2.20,1.00,1.00,0.0001,0.14,84.4,77.6439,0.1032,98
370000,0,3,7.67,0.00,0.00,0.00,7.67,0.00,1.00,0.000,0.000,950.9,50.0,1,1,2.00,1.00,1.00,0.0096,0.07,107942.1,0.0000,0.0000,12444
380000,8,401,10.79,0.02,0.01,0.02,10.73,0.00,1.01,0.000,0.061,204926.9,2356.7,2,2,2.60,1.01,1.01,0.2982,6.73,34097.9,30.4178,20.4865,4438
380000,1,8,12.88,0.00,0.00,0.00,12.88,0.00,1.00,0.000,0.072,4951.2,89.3,1,1,2.62,1.00,1.00,0.0116,0.00,29.5,60.4557,0.5305,91
380000,0,2,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,531.4,10.1,1,2,2.50,1.00,1.00,0.0058,0.63,104245.5,0.0000,0.0000,11855
390000,8,411,11.00,0.00,0.08,0.09,10.82,0.00,1.00,0.000,0.059,230083.6,3141.3,3,7,2.49,1.00,1.00,0.3896,8.98,35229.6,23.9061,22.9352,4769
390000,1,12,16.17,0.00,0.00,0.50,15.67,0.00,1.00,0.000,0.139,7648.9,307.7,1,4,2.50,1.00,1.00,0.0360,0.00,15.1,42.1603,0.8962,82
390000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,420.8,6.4,0,0,-0.00,-0.00,-0.00,0.0057,0.71,102058.1,0.0000,0.0000,11533
400000,8,387,11.06,0.03,0.02,0.00,11.01,0.00,1.01,0.000,0.056,227497.0,3308.5,3,3,2.48,1.01,1.01,0.4110,6.66,31342.8,26.4278,22.7406,4790
400000,1,10,5.90,0.00,0.00,0.00,5.90,0.00,1.00,0.000,0.042,6518.0,140.4,1,0,2.10,1.00,1.00,0.0173,0.24,115.6,53.5119,0.7198,96
400000,0,7,7.43,0.00,0.00,0.00,7.43,0.00,1.00,0.000,0.000,543.0,10.9,1,6,1.57,1.00,1.00,0.0070,0.90,105466.6,0.0000,0.0000,11498
410000,8,438,8.96,0.03,0.01,0.01,8.92,0.00,1.01,0.000,0.053,228134.7,2837.2,2,0,2.38,1.00,1.01,0.3535,7.38,29041.6,27.6794,22.7838,4604
410000,1,22,12.68,0.00,0.00,0.18,12.50,0.00,1.00,0.000,0.166,8344.3,229.6,1,1,2.82,1.00,1.00,0.0293,0.19,492.8,41.0177,0.9434,98
410000,0,6,20.17,0.00,1.67,7.67,10.83,0.00,1.00,0.000,0.001,3289.2,236.9,1,4,3.33,1.00,1.00,0.0471,1.82,109061.1,0.0000,0.0000,11682
420000,8,395,9.20,0.00,0.09,0.06,9.04,0.00,1.00,0.000,0.051,199231.8,2251.2,4,0,2.53,1.00,1.00,0.2858,4.71,28509.8,33.5697,19.8862,4478
420000,1,7,31.86,0.00,0.00,0.00,31.86,0.00,1.00,0.000,0.122,7472.4,246.9,0,0,5.00,1.00,1.00,0.0330,0.34,134.3,42.6208,0.8786,98
420000,0,3,15.67,0.00,0.00,0.00,15.67,0.00,1.00,0.000,0.000,859.7,77.7,2,3,4.00,1.00,1.00,0.0224,1.73,109372.7,0.0000,0.0000,11808
