run,seed,side,zone,from_k,leader_share,bodies
fresh 0.2,9,lower,tropics,48,0.9475833333333333,12000
fresh 0.2,9,lower,tropics,64,0.9455815307013289,10309
fresh 0.2,9,lower,tropics,80,0.9691299392097265,10528
fresh 0.2,9,lower,tropics,96,0.9903006789524733,3093
fresh 0.2,9,upper east,north,32,0.3838879159369527,2855
fresh 0.2,9,upper east,north,48,0.39164785553047404,3544
fresh 0.2,9,upper east,north,64,0.08565268522148177,5102
fresh 0.2,9,upper east,north,80,0.7562820859227236,3701
fresh 0.2,9,upper east,north,96,0.16444981862152358,827
fresh 0.2,9,upper east,south,32,0.68359375,2048
fresh 0.2,9,upper east,south,48,0.3924731182795699,2976
fresh 0.2,9,upper east,south,64,0.6461923290717065,3598
fresh 0.2,9,upper east,south,80,0.9078204783660306,3721
fresh 0.2,9,upper east,south,96,0.8768382352941176,544
fresh 0.2,9,upper east,tropics,32,0.8458149779735683,1589
fresh 0.2,9,upper east,tropics,48,0.3254759746146872,2206
fresh 0.2,9,upper east,tropics,64,0.45374264087468463,2378
fresh 0.2,9,upper east,tropics,80,0.9444,2500
fresh 0.2,9,upper east,tropics,96,0.9847094801223242,654
fresh 0.2,9,upper west,north,32,0.48238354220855995,4229
fresh 0.2,9,upper west,north,48,0.7919338159255429,4835
fresh 0.2,9,upper west,north,64,0.8838398597311514,6844
fresh 0.2,9,upper west,north,80,0.936792258595841,4857
fresh 0.2,9,upper west,north,96,0.853125,1280
fresh 0.2,9,upper west,south,32,0.8061950606948514,4778
fresh 0.2,9,upper west,south,48,0.8282811731935114,6103
fresh 0.2,9,upper west,south,64,0.8547574039067423,6348
fresh 0.2,9,upper west,south,80,0.9408938710147038,6869
fresh 0.2,9,upper west,south,96,0.8464687819856704,977
fresh 0.2,9,upper west,tropics,32,0.666039156626506,2656
fresh 0.2,9,upper west,tropics,48,0.8948352418789437,4279
fresh 0.2,9,upper west,tropics,64,0.9027533684827183,3414
fresh 0.2,9,upper west,tropics,80,0.9747737866739786,3647
fresh 0.2,9,upper west,tropics,96,0.9223512336719883,1378
fresh 0.2,10,lower,north,32,0.8842581275971645,8182
fresh 0.2,10,lower,north,48,0.8608247422680413,10864
fresh 0.2,10,lower,north,64,0.8979831932773109,11900
fresh 0.2,10,lower,north,80,0.8030567322867348,12039
fresh 0.2,10,lower,north,96,0.8826011417225118,4029
fresh 0.2,10,lower,south,32,0.8763286411950589,6962
fresh 0.2,10,lower,south,48,0.9013642400096583,8283
fresh 0.2,10,lower,south,64,0.950249283971571,9427
fresh 0.2,10,lower,south,80,0.678028220634048,10914
fresh 0.2,10,lower,south,96,0.729631315430132,2197
fresh 0.2,10,lower,tropics,32,0.9079351774238614,7158
fresh 0.2,10,lower,tropics,48,0.9413519909455705,9719
fresh 0.2,10,lower,tropics,64,0.9503800675675675,9472
fresh 0.2,10,lower,tropics,80,0.7317073170731707,10578
fresh 0.2,10,lower,tropics,96,0.7687829220959246,3607
fresh 0.2,10,upper east,north,32,0.15513748191027496,3455
fresh 0.2,10,upper east,north,48,0.6831922611850061,3308
fresh 0.2,10,upper east,north,64,0.6547917711991972,3986
fresh 0.2,10,upper east,north,80,0.4660590069561046,4169
fresh 0.2,10,upper east,north,96,0.8920510304219823,1019
fresh 0.2,10,upper east,south,32,0.5582375478927203,2610
fresh 0.2,10,upper east,south,48,0.8355633802816902,2840
fresh 0.2,10,upper east,south,64,0.8959795788130185,3134
fresh 0.2,10,upper east,south,80,0.7242274733835368,3851
fresh 0.2,10,upper east,south,96,0.7295918367346939,784
fresh 0.2,10,upper east,tropics,32,0.2316320807627594,1783
fresh 0.2,10,upper east,tropics,48,0.6864728192161821,2373
fresh 0.2,10,upper east,tropics,64,0.8931050439611291,2161
fresh 0.2,10,upper east,tropics,80,0.910918227501142,2189
fresh 0.2,10,upper east,tropics,96,0.9336569579288025,618
fresh 0.2,10,upper west,north,32,0.759590235396687,4588
fresh 0.2,10,upper west,north,48,0.8743549027391823,5038
fresh 0.2,10,upper west,north,64,0.8934105493817499,6389
fresh 0.2,10,upper west,north,80,0.8871544103817942,5317
fresh 0.2,10,upper west,north,96,0.7389121338912134,1195
fresh 0.2,10,upper west,south,32,0.8445454545454546,4400
fresh 0.2,10,upper west,south,48,0.9,5220
fresh 0.2,10,upper west,south,64,0.9492466296590008,6305
fresh 0.2,10,upper west,south,80,0.7048776957591547,6909
fresh 0.2,10,upper west,south,96,0.7010309278350515,1067
fresh 0.2,10,upper west,tropics,32,0.8760650658404338,2582
fresh 0.2,10,upper west,tropics,48,0.8382864792503347,3735
fresh 0.2,10,upper west,tropics,64,0.867966048412449,3181
fresh 0.2,10,upper west,tropics,80,0.9066745422327229,3386
fresh 0.2,10,upper west,tropics,96,0.8636363636363636,1210
fresh 0.2,11,lower,north,32,0.0,9828
fresh 0.2,11,lower,north,48,0.6350989834135902,13083
fresh 0.2,11,lower,north,64,0.776900437872371,13931
fresh 0.2,11,lower,north,80,0.7841541755888651,14010
fresh 0.2,11,lower,north,96,0.9644756434801106,4701
fresh 0.2,11,lower,south,32,0.0,7691
fresh 0.2,11,lower,south,48,0.6386776510350655,9468
fresh 0.2,11,lower,south,64,0.8115128115128115,11396
fresh 0.2,11,lower,south,80,0.8220091704877032,11995
fresh 0.2,11,lower,south,96,0.8598210481465701,2347
fresh 0.2,11,lower,tropics,32,0.0,9254
fresh 0.2,11,lower,tropics,48,0.6702109266943291,11568
fresh 0.2,11,lower,tropics,64,0.8783842228180954,11561
fresh 0.2,11,lower,tropics,80,0.8124,12500
fresh 0.2,11,lower,tropics,96,0.9387600806451613,3968
fresh 0.2,11,upper east,north,32,0.03864247311827957,2976
fresh 0.2,11,upper east,north,48,0.29064039408866993,3248
fresh 0.2,11,upper east,north,64,0.13543478260869565,4600
fresh 0.2,11,upper east,north,80,0.2607988852763586,4306
fresh 0.2,11,upper east,north,96,0.14613970588235295,1088
fresh 0.2,11,upper east,south,32,0.0,2242
fresh 0.2,11,upper east,south,48,0.6448152562574494,2517
fresh 0.2,11,upper east,south,64,0.46788990825688076,2943
fresh 0.2,11,upper east,south,80,0.7563959955506118,3596
fresh 0.2,11,upper east,south,96,0.47634069400630913,634
fresh 0.2,11,upper east,tropics,32,0.01259748050389922,1667
fresh 0.2,11,upper east,tropics,48,0.6912621359223301,2060
fresh 0.2,11,upper east,tropics,64,0.31993481803367735,1841
fresh 0.2,11,upper east,tropics,80,0.5007078810759792,2119
fresh 0.2,11,upper east,tropics,96,0.3333333333333333,672
fresh 0.2,11,upper west,north,32,0.027598486534609393,4493
fresh 0.2,11,upper west,north,48,0.4713992919694429,5367
fresh 0.2,11,upper west,north,64,0.41558611656843486,7635
fresh 0.2,11,upper west,north,80,0.8615923009623797,5715
fresh 0.2,11,upper west,north,96,0.710968775020016,1249
fresh 0.2,11,upper west,south,32,0.0,4472
fresh 0.2,11,upper west,south,48,0.6593314295313287,5953
fresh 0.2,11,upper west,south,64,0.7597340930674265,6318
fresh 0.2,11,upper west,south,80,0.8726086956521739,6900
fresh 0.2,11,upper west,south,96,0.8789370078740157,1016
fresh 0.2,11,upper west,tropics,32,0.0,2603
fresh 0.2,11,upper west,tropics,48,0.530367408147963,4001
fresh 0.2,11,upper west,tropics,64,0.7232298136645963,4025
fresh 0.2,11,upper west,tropics,80,0.9229789942711648,3142
fresh 0.2,11,upper west,tropics,96,0.9573033707865168,1335
