step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,42.50,41,6,0,0,28,0,2.53,2,0.000,1464,4.43,450.52,36.52,694,0,0,0,1.00,2.75,3.29,6,8,8,20.3,137.144,34,1.062,0.465,8,1.000
100000,50.00,25,0,0,0,25,0,1.00,0,0.000,1453,4.16,96.26,39.05,682,0,0,0,1.00,1.00,1.00,4,5,5,24.4,41.082,25,2.000,0.120,5,1.000
100000,42.00,25,0,11,0,10,0,1.00,0,0.262,1448,0.00,38.29,89.97,682,0,0,0,1.00,1.00,1.00,4,5,5,16.0,5.204,21,2.000,0.145,5,1.000
100000,7.75,15,0,0,0,7,0,1.00,16,0.000,1448,0.00,31.94,3.27,299,0,0,0,1.00,1.00,1.00,1,2,4,20.9,6.333,7,1.108,0.354,7,1.000
100000,6.01,14,0,0,0,6,0,1.00,34,0.000,1447,-0.00,55.65,11.11,683,1,0,0,1.00,1.00,1.00,4,2,3,25.7,0.466,6,1.002,0.341,11,1.000
100000,3.43,11,0,0,0,4,0,1.00,24,0.000,1446,0.01,52.43,3.91,629,0,0,0,1.00,1.00,1.00,1,2,2,21.1,0.545,4,0.857,0.344,8,1.000
100000,3.76,24,0,0,0,4,0,1.00,28,0.000,1438,0.00,100.87,2.97,629,0,0,0,1.00,1.00,1.00,1,2,2,14.9,18.287,4,0.940,0.396,9,1.000
100000,5.28,10,0,0,0,6,0,1.00,26,0.000,1437,0.00,62.55,6.63,629,0,1,0,1.00,1.00,1.00,2,2,3,13.5,21.212,6,0.880,0.412,9,1.000
100000,17.40,20,0,0,0,20,0,1.00,14,0.000,1436,2.57,198.00,18.74,629,0,0,0,1.00,1.00,1.00,3,3,8,23.5,66.651,20,0.870,0.377,9,0.333
100000,170.00,49,36,10,0,3,4,10.79,0,0.059,1435,0.00,0.00,1.21,682,0,0,4,10.71,13.14,9.64,6,7,7,15.0,0.000,49,2.000,0.215,7,1.000
100000,12.00,25,0,4,0,2,0,1.00,10,0.333,1435,0.00,53.49,33.96,682,0,2,0,1.00,1.00,1.00,2,3,2,21.4,43.516,6,2.000,0.113,5,1.000
