step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
540000,8,601,10.50,0.02,0.00,0.00,10.48,0.00,1.01,0.000,0.093,332795.1,7926.4,4,14,2.26,1.01,1.01,0.7912,9.19
540000,2,119,9.93,0.00,0.00,0.15,9.78,0.00,1.00,0.000,0.266,65994.9,3629.9,3,17,2.32,1.00,1.00,0.3610,4.68
540000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,574.4,114.5,0,0,-0.00,-0.00,-0.00,0.0140,78.32
550000,8,560,10.45,0.02,0.01,0.01,10.41,0.00,1.01,0.000,0.107,329421.2,7862.8,3,0,2.29,1.01,1.01,0.7850,6.27
550000,2,125,9.39,0.01,0.01,0.00,9.38,0.00,1.00,0.000,0.219,65417.3,3918.0,2,1,2.15,1.00,1.01,0.3905,3.50
550000,0,6,10.83,0.00,0.00,1.00,9.83,0.00,1.00,0.000,0.000,618.5,118.6,3,6,2.83,1.00,1.00,0.0147,86.60
560000,8,616,10.46,0.04,0.00,0.01,10.41,0.00,1.01,0.000,0.092,317553.2,7742.7,2,2,2.34,1.01,1.02,0.7736,16.87
560000,2,119,9.94,0.10,0.00,0.00,9.84,0.00,1.05,0.000,0.218,67749.4,4196.3,1,0,2.23,1.07,1.07,0.4165,4.97
560000,0,3,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,652.3,206.2,2,3,2.33,1.00,1.00,0.0254,84.80
570000,8,649,10.76,0.05,0.00,0.04,10.68,0.00,1.02,0.000,0.091,341401.0,7798.1,2,0,2.28,1.01,1.02,0.7770,8.62
570000,2,127,9.39,0.11,0.01,0.02,9.24,0.00,1.03,0.000,0.218,67248.9,3633.0,2,0,2.28,1.04,1.04,0.3603,3.34
570000,0,5,11.00,0.00,0.00,0.40,10.60,0.00,1.00,0.000,0.000,867.6,195.2,1,5,2.40,1.00,1.00,0.0233,77.10
580000,8,623,10.66,0.04,0.00,0.04,10.59,0.00,1.01,0.000,0.096,344338.2,8012.3,2,0,2.29,1.01,1.01,0.8016,12.54
580000,2,120,9.24,0.04,0.00,0.20,9.00,0.00,1.02,0.000,0.204,67035.0,3516.2,1,0,2.29,1.01,1.01,0.3490,3.55
580000,0,6,8.83,0.00,0.00,0.00,8.83,0.00,1.00,0.000,0.000,772.1,149.6,1,6,2.33,1.00,1.00,0.0182,85.83
590000,8,638,10.40,0.01,0.00,0.03,10.35,0.00,1.01,0.000,0.100,339736.1,7945.5,3,2,2.26,1.01,1.01,0.7941,13.43
