step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
290000,0,17,13.76,0.00,0.06,0.00,13.71,0.00,1.00,0.000,0.001,840.9,243.5,1,8,3.18,1.00,1.00,0.0376,4.39,123338.5,0.0000,0.0000,12168
300000,8,139,8.07,0.00,0.06,0.01,7.99,0.00,1.00,0.000,0.019,71806.2,1118.7,1,0,2.49,1.00,1.00,0.1347,2.16,7398.4,64.7940,7.2238,3665
300000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,12430.1,1065.5,0,0,-0.00,-0.00,-0.00,0.1234,0.01,378.9,2.4464,1.4117,97
300000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,616.8,192.9,0,0,-0.00,-0.00,-0.00,0.0305,0.14,123297.5,0.0000,0.0000,12622
310000,8,268,8.71,0.01,0.06,0.01,8.62,0.00,1.00,0.000,0.037,78875.6,1242.8,1,0,2.63,1.00,1.01,0.1436,4.97,19853.0,59.2901,7.9232,3965
310000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,83.1,41.0145,0.0474,98
310000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,149.5,0.9,0,0,-0.00,-0.00,-0.00,0.0013,0.05,110421.8,0.0000,0.0000,12321
320000,8,318,8.86,0.06,0.01,0.01,8.80,0.00,1.02,0.003,0.037,158973.3,2485.5,1,0,2.75,1.02,1.02,0.2853,6.45,41290.7,40.1213,15.8267,4725
320000,1,7,35.57,0.00,2.00,4.00,29.57,0.00,1.00,0.000,0.129,5675.5,1092.3,1,0,8.71,1.00,1.00,0.1335,0.39,411.3,36.4034,0.6069,98
320000,0,2,20.00,0.00,3.50,0.00,16.50,0.00,1.00,0.000,0.000,4368.1,1489.7,2,1,4.50,1.00,1.00,0.2304,1.27,92472.9,0.0000,0.0000,11561
330000,8,295,8.80,0.00,0.10,0.05,8.64,0.00,1.00,0.000,0.034,160315.5,2454.5,1,0,2.66,1.00,1.00,0.2846,2.93,36525.0,40.1501,15.9834,4802
330000,1,13,19.62,0.00,0.00,0.00,19.62,0.00,1.00,0.000,0.158,10950.0,1625.2,1,0,3.69,1.00,1.00,0.2088,1.35,378.0,7.9928,1.2417,98
