step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
400000,0,699,7.32,0.04,0.03,0.04,7.21,0.00,1.01,0.000,0.059,349634.0,4215.6,1,48,3.27,1.00,1.01,0.4820,4.91,117812.0,0.0000,33.8614,5462
400000,1,432,7.44,0.08,0.01,0.04,7.31,0.00,1.03,0.000,0.037,213426.7,2651.4,1,57,3.32,1.02,1.03,0.3072,5.12,19466.1,20.7943,20.9439,5461
400000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,6.3,0.4,0,0,-0.00,-0.00,-0.00,0.0002,0.00,0.0,54.6088,0.0006,5461
410000,0,717,7.17,0.03,0.03,0.06,7.04,0.00,1.01,0.000,0.058,349372.2,4106.1,1,45,3.28,1.00,1.01,0.4680,5.88,117850.5,0.0000,33.8680,5462
410000,1,443,7.07,0.01,0.00,0.00,7.07,0.00,1.00,0.000,0.036,213403.7,2721.9,1,53,3.21,1.00,1.00,0.3170,3.40,19459.3,20.7850,20.9497,5461
410000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,6.4,0.0,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6083,0.0010,5461
420000,0,688,7.23,0.00,0.04,0.00,7.19,0.00,1.00,0.000,0.057,348961.6,4064.1,1,42,3.28,1.00,1.00,0.4632,7.74,117804.0,0.0000,33.8243,5462
420000,1,432,7.17,0.06,0.04,0.01,7.06,0.00,1.02,0.000,0.035,213518.1,2730.5,1,46,3.28,1.00,1.02,0.3175,2.83,19437.4,20.7975,20.9529,5461
420000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,9.4,0.6,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6082,0.0010,5461
430000,0,695,7.21,0.00,0.01,0.01,7.19,0.00,1.00,0.000,0.058,349160.9,4052.8,1,53,3.29,1.00,1.00,0.4623,6.46,117777.1,0.0000,33.8248,5462
430000,1,422,7.39,0.00,0.01,0.02,7.36,0.00,1.00,0.000,0.036,212857.7,2657.0,1,54,3.34,1.00,1.00,0.3087,4.47,19419.2,20.8107,20.8981,5461
430000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4.4,0.7,0,0,-0.00,-0.00,-0.00,0.0003,0.01,0.0,54.6088,0.0007,5461
440000,0,676,7.08,0.00,0.02,0.02,7.04,0.00,1.00,0.000,0.055,349078.6,4056.3,1,41,3.27,1.00,1.00,0.4612,3.13,117821.1,0.0000,33.8350,5462
440000,1,440,7.28,0.03,0.06,0.00,7.18,0.00,1.01,0.000,0.036,213214.2,2662.1,1,51,3.33,1.00,1.01,0.3092,6.15,19397.7,20.7843,20.9255,5461
440000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,15.9,0.1,0,0,-0.00,-0.00,-0.00,0.0001,0.13,0.0,54.6074,0.0015,5461
450000,0,698,7.11,0.00,0.01,0.00,7.10,0.00,1.00,0.000,0.057,348939.7,4094.3,1,45,3.23,1.00,1.00,0.4671,4.80,117795.0,0.0000,33.8242,5462
450000,1,440,7.36,0.08,0.04,0.00,7.24,0.00,1.02,0.000,0.037,213089.1,2742.8,1,55,3.28,1.02,1.03,0.3195,2.86,19462.4,20.7961,20.9113,5461
450000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4.3,0.3,0,0,-0.00,-0.00,-0.00,0.0002,0.00,0.0,54.6090,0.0005,5461
460000,0,701,7.07,0.00,0.05,0.00,7.02,0.00,1.00,0.000,0.057,349036.7,4006.0,1,52,3.29,1.00,1.00,0.4560,4.76,117815.1,0.0000,33.8444,5462
460000,1,439,7.19,0.07,0.02,0.03,7.08,0.00,1.03,0.000,0.036,213149.0,2570.0,1,56,3.23,1.03,1.03,0.2988,5.78,19451.2,20.8024,20.9092,5461
460000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,16.0,0.2,0,0,-0.00,-0.00,-0.00,0.0004,0.05,0.1,54.6068,0.0019,5461
