run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
S+Fb 9,flesh / no tooth / roams / shore,litter,1008,0.0094252,32,0.7,0.40066,0.00017732,4.3139e-05,0,0.59912,0.70114
S+Fb 9,plant / no tooth / stays / surface,algae,859,0.008032,28.79,0.738,0.025172,6.7506e-05,5.5658e-05,0.97383,0.00086991,0.074754
S+Fb 9,plant / tooth / stays / shore,grass,852,0.0079666,59.555,0.511,0.5644,0.18171,0.029466,0.00041286,0.22402,0.18716
S+Fb 9,flesh / no tooth / roams / bottom,litter,421,0.0039365,32,0.7,0.039256,0,0,0,0.96074,0.65199
S+Fb 9,mixed / no tooth / stays / land,grass,331,0.003095,50,0.562,0.92787,0.045976,0.011576,0,0.014581,0.21978
S+Fb 9,plant / tooth / roams / shore,grass,267,0.0024966,43.2,0.606,0.41383,0.1985,0.043521,0.29137,0.052774,0.22407
S+Fb 9,plant / no tooth / roams / land,grass,142,0.0013278,32,0.695,0.90991,0.022365,0.00066838,0.0063092,0.060753,0.20461
S+Fb 9,plant / tooth / roams / bottom,litter,48,0.00044882,41.04,0.617,0,0,0,0,1,0.24222
S+Fb 9,flesh / no tooth / stays / shore,grass,29,0.00027116,32,0.702,0.87254,0,0,0,0.12746,0.92965
S+Fb 9,mixed / tooth / stays / bottom,litter,22,0.00020571,36.27,0.654,0.010548,0.0038569,0.0023999,0,0.98319,0.28132
S+Fb 9,mixed / no tooth / roams / land,grass,20,0.00018701,48.975,0.569,0.91736,0,0,0,0.082643,0.43375
S+Fb 9,flesh / no tooth / stays / bottom,litter,14,0.00013091,32,0.7055,0.15208,0,0,0,0.84792,0.70737
S+Fb 9,mixed / no tooth / stays / surface,algae,14,0.00013091,29.87,0.724,0,0,0,1,0,0.42559
S+Fb 9,flesh / no tooth / stays / land,grass,10,9.3504e-05,32,0.6925,0.67295,0.035925,0,0,0.29112,0.67179
S+Fb 9,flesh / tooth / stays / land,grass,9,8.4154e-05,58,0.523,0.52096,0.37039,0.026875,0,0.08178,0.63074
S+Fb 9,mixed / tooth / roams / bottom,litter,8,7.4803e-05,46.255,0.584,0.062907,0.019297,0.00047912,0,0.91732,0.14645
S+Fb 9,plant / tooth / roams / land,grass,7,6.5453e-05,174,0.301,0.56506,0.3572,0.038164,0.013026,0.026545,0.27672
S+Fb 9,flesh / no tooth / roams / land,grass,4,3.7402e-05,35,0.672,0.79271,0,0,0,0.20729,0.73447
S+Fb 9,plant / tooth / stays / surface,algae,4,3.7402e-05,39.8,0.6315,0,0,0,1,0,0
S+Fb 9,plant / tooth / stays / bottom,litter,2,1.8701e-05,62.495,0.5035,0.022875,0.013326,0.010771,0,0.95303,0.017571
S+Fb 9,plant / tooth / roams / surface,algae,1,9.3504e-06,45.53,0.584,0.028977,0.045873,0.034166,0.89098,0,0.29013
S+Fb 9,flesh / tooth / stays / bottom,litter,1,9.3504e-06,46,0.589,0,0,0,0,1,0.59222
S+Fb 9,flesh / no tooth / roams / surface,algae,1,9.3504e-06,33,0.692,0,0,0,1,0,0.72838
S+Fb 9,mixed / tooth / roams / surface,grass,1,9.3504e-06,72.37,0.464,0.60413,0.30141,0.0015408,0.092924,0,0.51067
S+Fb 10,plant / no tooth / stays / bottom,litter,25976,0.16158,31,0.704,0.014596,0.00026682,3.5536e-06,0,0.98513,0.069864
S+Fb 10,mixed / tooth / roams / land,grass,23833,0.14825,55.52,0.533,0.47739,0.18103,0.30415,0.0012956,0.036126,0.4338
S+Fb 10,plant / no tooth / stays / shore,litter,20257,0.12601,32,0.689,0.47864,0.017803,0.0019324,0.012505,0.48912,0.077452
S+Fb 10,mixed / no tooth / stays / bottom,litter,15901,0.09891,32,0.702,0.008342,0.00014837,8.6226e-06,0,0.9915,0.21923
S+Fb 10,mixed / no tooth / roams / shore,litter,12256,0.076237,32,0.7,0.258,0.0046852,0.0024166,0.00020623,0.73469,0.43596
S+Fb 10,mixed / tooth / stays / land,grass,9031,0.056176,61.79,0.505,0.60763,0.2352,0.12707,0.0094428,0.020657,0.33708
S+Fb 10,plant / no tooth / roams / surface,algae,6850,0.04261,19,0.89,0.011151,0.00092574,2.9816e-05,0.98789,0,0.15878
S+Fb 10,plant / no tooth / stays / land,grass,5909,0.036756,72,0.467,0.91246,0.043776,0.0061992,0.00082923,0.036734,0.060378
S+Fb 10,mixed / no tooth / roams / bottom,litter,5790,0.036016,32,0.702,0.020073,0.00062472,0.00011639,0,0.97919,0.37869
S+Fb 10,plant / tooth / stays / land,grass,5337,0.033198,62.76,0.501,0.63917,0.27795,0.051871,0.0023128,0.028704,0.18069
S+Fb 10,mixed / no tooth / stays / shore,litter,4958,0.030841,32,0.698,0.33789,0.02334,0.0019847,0.00024659,0.63654,0.29926
S+Fb 10,plant / no tooth / roams / bottom,litter,4145,0.025783,30,0.707,0.013871,0.0011718,6.1516e-09,0,0.98496,0.16866
S+Fb 10,mixed / tooth / stays / shore,grass,3940,0.024508,44,0.595,0.48304,0.24155,0.1035,0.0033549,0.16856,0.33296
S+Fb 10,plant / tooth / stays / shore,grass,3166,0.019694,40,0.625,0.48848,0.27234,0.045753,0.027132,0.1663,0.17178
S+Fb 10,mixed / tooth / roams / shore,grass,2993,0.018618,41.73,0.614,0.41469,0.21459,0.20113,0.039153,0.13043,0.44063
