gx,gy,land,dry,temp,predicted,region
21,11,64,0.6345,33.53,0.02704,0
22,11,64,0.6637,33.66,0.02133,0
23,11,64,0.6711,33.08,0.02133,0
24,11,64,0.6738,32.48,0.03285,1
25,11,64,0.6737,31.87,0.03285,1
26,11,64,0.7084,32.27,0.02109,0
27,11,64,0.7284,32.29,0.02109,0
28,11,64,0.7564,32.62,0.01456,0
29,11,64,0.7867,33.17,0.00729,0
30,11,64,0.8152,33.83,0.00602,0
31,11,62,0.8208,34.57,0.00602,0
32,11,64,0.8104,34.27,0.00602,0
33,11,64,0.8112,33.9,0.00602,0
34,11,64,0.8313,34.52,0.00602,0
35,11,27,0.7839,35.47,0.0,0
36,11,1,0.6655,36.52,0.0,0
47,11,16,0.4996,35.52,0.0,0
48,11,60,0.51,34.45,0.03216,5
49,11,64,0.5421,33.92,0.03216,5
50,11,64,0.5882,33.89,0.02824,0
51,11,64,0.5915,33.22,0.02824,0
52,11,64,0.5827,32.64,0.04111,5
53,11,64,0.6151,32.83,0.03224,5
54,11,64,0.6685,33.43,0.02133,0
55,11,48,0.7128,34.5,0.01478,0
17,12,38,0.536,36.83,0.03216,8
18,12,64,0.5465,36.08,0.03216,8
19,12,64,0.5466,35.41,0.03216,8
20,12,64,0.5887,35.52,0.02824,0
21,12,64,0.6321,35.77,0.02704,0
22,12,64,0.6577,35.86,0.02133,0
23,12,64,0.6647,35.43,0.02133,0
24,12,64,0.6671,34.82,0.02133,0
25,12,64,0.6784,34.43,0.02133,0
26,12,64,0.7155,34.8,0.01478,0
27,12,64,0.7363,34.81,0.01478,0
28,12,64,0.7575,34.92,0.00729,0
29,12,64,0.7906,35.58,0.00729,0
30,12,64,0.819,36.22,0.00602,0
31,12,59,0.7977,36.86,0.00729,0
32,12,64,0.7966,36.6,0.00729,0
33,12,64,0.8067,36.01,0.00602,0
34,12,64,0.8242,36.08,0.00602,0
35,12,64,0.8413,36.49,0.00602,0
36,12,24,0.8305,37.14,0.0,0
47,12,26,0.5251,36.54,0.0,0
48,12,62,0.5416,36.33,0.03216,5
49,12,64,0.555,36.03,0.02824,0
50,12,64,0.5676,35.49,0.02824,0
51,12,64,0.5905,35.03,0.02824,0
52,12,64,0.6065,34.76,0.02704,0
53,12,64,0.637,35.02,0.02704,0
54,12,64,0.6741,35.43,0.02133,0
55,12,40,0.7186,36.45,0.01478,0
62,12,39,0.516,37.28,0.03216,0
63,12,16,0.5298,37.66,0.0,0
0,13,24,0.5001,36.88,0.0,0
1,13,13,0.4976,36.62,0.0,0
17,13,8,0.4914,37.12,0.0,0
18,13,64,0.5071,35.75,0.03216,8
19,13,64,0.5097,35.18,0.03216,8
20,13,64,0.5559,35.35,0.02824,0
21,13,64,0.619,35.78,0.02704,0
22,13,64,0.6324,35.45,0.02704,0
23,13,64,0.6411,35.16,0.02704,0
24,13,64,0.6521,34.88,0.02133,0
25,13,64,0.6822,35.01,0.02133,0
26,13,64,0.7019,34.84,0.01478,0
27,13,64,0.7356,35.23,0.01478,0
28,13,64,0.7539,35.27,0.00729,0
29,13,64,0.7719,35.37,0.00729,0
30,13,64,0.8058,36.17,0.00602,0
31,13,64,0.834,36.92,0.00602,0
32,13,64,0.8402,36.92,0.00602,0
33,13,64,0.8311,36.2,0.00602,0
34,13,64,0.8327,35.79,0.00602,0
35,13,64,0.8512,36.1,0.00602,0
