step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
6000,-60,1,2246,1111.8870,1559.35,502.66,14.59,0,0.20,0.095,16.476,0.9454,31.753,640.45,152.4279
6000,-60,2,1,0.7479,1.14,1.11,27.35,0,7.90,0.392,10.816,0.9680,53.017,0.22,0.0813
6000,-50,0,7189,3207.4418,5157.67,99.75,29.45,0,11.78,2.250,10.310,0.4098,46.826,1959.83,365.9077
6000,-50,1,1505,1302.9049,2151.69,442.98,15.39,0,10.66,2.021,10.972,0.7563,83.280,442.73,142.8068
6000,-50,2,4,3.2798,5.69,5.99,33.40,0,11.88,1.260,8.861,0.9190,71.919,0.84,0.3344
6000,-40,0,6257,3150.2296,6026.30,67.08,36.26,0,21.15,6.402,6.950,0.3545,109.596,1711.05,332.6034
6000,-40,1,1816,1860.7991,3555.80,652.64,25.02,0,19.60,5.868,7.682,0.6524,182.010,556.02,190.3418
6000,-40,2,8,11.1037,20.96,9.18,29.98,0,24.31,6.971,4.801,0.9357,300.157,1.99,1.0936
6000,-30,0,4463,2806.4124,5819.37,103.03,36.66,0,27.97,10.361,5.184,0.4042,260.974,1256.81,292.9064
6000,-30,1,3082,3308.7158,6676.45,1402.83,30.97,0,26.91,9.999,5.685,0.5855,351.046,981.52,332.9068
6000,-30,2,632,791.2352,1611.63,900.68,33.47,0,28.63,10.885,5.098,0.7858,532.018,168.56,78.9506
6000,-20,0,1976,960.4370,2244.51,42.59,51.40,0,33.11,13.697,4.118,0.3028,334.730,575.95,99.2685
6000,-20,1,2316,2051.4658,4625.01,965.73,30.00,0,32.58,13.519,4.348,0.4466,482.588,774.36,207.6232
6000,-20,2,3927,4146.7954,9046.16,10833.40,30.15,0,31.63,13.043,4.663,0.7821,771.167,889.88,419.2042
6000,-10,0,1745,688.2185,1663.01,28.88,56.44,0,36.68,16.119,3.437,0.2567,414.962,542.31,70.2431
6000,-10,1,2109,1634.3007,3888.29,919.36,31.71,0,36.80,16.239,3.420,0.3601,618.507,744.27,166.5799
6000,-10,2,4370,4039.4438,9321.75,14688.22,28.44,0,34.08,14.779,4.262,0.7479,998.309,920.44,418.8550
6000,0,0,1788,669.9985,1518.82,27.97,61.80,0,38.54,17.324,3.037,0.2082,416.736,591.89,69.5104
6000,0,1,1821,1334.3732,3080.19,911.22,35.99,0,38.60,17.360,3.025,0.3378,691.384,648.24,138.7449
6000,0,2,4758,3983.5769,9207.77,13673.53,29.03,0,35.05,15.485,4.132,0.6498,960.339,1099.09,418.8262
6000,10,0,3116,983.2916,2192.77,52.89,63.53,0,37.40,16.530,3.255,0.1757,316.576,957.83,103.4876
6000,10,1,2887,2015.1532,4468.63,1480.50,37.22,0,36.99,16.308,3.387,0.3308,579.667,1021.78,213.7687
