step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
90000,2857,0.4291,13381.8,186,1053,1023,781,135,139,165,34033,34009,39929,0,0,0,1.000,1.000,1.000,770,385,94,0.1851,0.2102,0.6223,0.0915
91000,2506,0.4078,11516.0,182,1044,799,663,132,133,215,34912,37455,42326,0,0,0,1.000,1.000,1.000,763,305,127,0.1037,0.2993,0.6475,0.1277
92000,1669,0.4314,9169.4,239,782,514,373,95,115,148,35166,41215,45515,0,0,0,1.000,1.000,1.000,593,218,56,0.0623,0.3725,0.7152,0.1875
93000,1086,0.4512,6910.2,300,585,294,207,45,119,131,34272,44884,48561,0,0,0,1.000,1.000,1.000,454,110,29,0.0215,0.6505,0.7465,0.2898
94000,713,0.4460,4684.0,359,500,131,82,11,92,73,32496,48410,51814,0,0,0,1.000,1.000,1.000,401,43,11,0.0102,0.9015,0.7443,0.4259
95000,533,0.4353,4204.8,349,437,62,34,3,57,34,29484,50471,54172,0,0,0,1.000,1.000,1.000,335,20,4,0.0085,0.9768,0.4359,0.5218
96000,527,0.4137,5892.6,520,381,92,54,5,82,54,26862,50690,55194,0,0,0,1.000,1.000,1.000,279,41,7,0.0004,1.0000,0.8018,0.1903
97000,897,0.3846,7557.0,409,525,209,163,13,143,133,25223,49318,54864,0,0,0,1.000,1.000,1.000,399,75,28,0.0075,0.9958,0.7822,0.3658
98000,1475,0.3756,7941.6,262,696,395,384,60,134,177,24293,47243,53922,0,0,0,1.000,1.000,1.000,510,157,44,0.0262,0.6223,0.7870,0.2537
99000,2257,0.3691,8996.7,168,887,759,611,127,143,181,21806,42633,50648,0,0,0,1.000,1.000,1.000,636,328,144,0.1597,0.2258,0.7345,0.1035
100000,3489,0.3875,13440.8,155,1372,1192,925,145,151,197,20948,37797,46346,0,0,0,1.000,1.000,1.000,999,457,144,0.1957,0.1887,0.6333,0.0814
