step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1294,3.15,183.81,55.36,95,1,1,0,1.00,1.00,1.00,8,8,8,33.0,93.168,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1292,4.84,102.23,69.31,95,0,0,0,1.00,1.00,1.00,8,8,8,22.4,93.024,20,1.567,0.588
100000,20.32,19,0,0,0,19,0,1.00,0,0.000,1286,2.48,163.19,26.68,310,1,1,0,1.00,1.00,1.00,4,8,8,26.2,90.020,19,1.069,0.412
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,1278,1.66,80.19,49.74,95,1,1,0,1.00,1.00,1.00,7,8,8,27.8,76.680,14,1.466,0.470
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1276,2.00,82.46,84.74,95,1,1,0,1.00,1.00,1.00,8,8,8,32.9,91.872,20,1.416,0.521
100000,10.40,7,0,0,0,7,0,1.00,16,0.000,1270,2.04,45.86,29.72,95,1,1,0,1.00,1.00,1.00,5,8,8,30.6,58.420,7,1.486,0.529
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1255,3.28,124.92,82.98,95,1,1,0,1.00,1.00,1.00,8,8,8,33.9,90.360,20,1.416,0.521
100000,21.73,13,0,0,0,13,0,1.00,8,0.000,1247,1.91,77.02,50.14,95,0,0,0,1.00,1.00,1.00,4,8,8,20.7,72.326,13,1.671,0.515
100000,26.90,18,0,0,0,18,0,1.00,6,0.000,1243,4.59,96.46,57.02,95,1,1,0,1.00,1.00,1.00,7,8,8,34.8,84.524,18,1.495,0.570
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1235,4.42,96.28,68.26,95,0,0,0,1.00,1.00,1.00,8,8,8,13.5,88.920,20,1.567,0.588
100000,19.06,14,0,0,0,13,0,1.00,8,0.000,1226,2.54,76.76,53.89,95,1,1,0,1.00,1.00,1.00,5,8,8,33.9,68.941,13,1.466,0.470
100000,10.48,14,0,0,0,10,0,1.00,12,0.000,1201,1.99,81.37,24.97,310,0,0,0,1.00,1.00,1.00,2,2,8,17.0,52.123,10,1.048,0.433
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,1196,1.88,125.03,34.80,95,0,0,0,1.00,1.00,1.00,7,8,8,16.1,71.760,14,1.466,0.470
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,1179,1.03,241.55,32.65,95,0,0,0,1.00,1.00,1.00,8,8,8,25.2,99.036,26,1.120,0.461
100000,29.80,19,0,0,0,19,0,1.00,6,0.000,1179,3.97,132.48,35.38,95,1,1,0,1.00,1.00,1.00,7,8,8,30.7,82.530,19,1.568,0.613
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1173,3.96,174.41,41.64,95,1,0,0,1.00,1.00,1.00,8,8,8,26.6,84.456,20,1.567,0.588
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,1171,1.56,208.18,62.13,95,0,0,0,1.00,1.00,1.00,8,8,8,22.7,98.364,26,1.120,0.461
100000,30.29,20,0,0,0,20,0,1.00,8,0.000,1169,3.46,155.43,71.88,95,1,1,0,1.00,1.00,1.00,8,8,8,32.7,84.168,20,1.515,0.575
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1169,2.95,171.01,89.93,95,0,1,0,1.00,1.00,1.00,8,8,8,25.5,84.168,20,1.416,0.521
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,1167,4.84,148.80,65.92,95,1,1,0,1.00,1.00,1.00,8,8,8,27.3,98.028,26,1.120,0.461
100000,49.64,24,12,0,0,12,0,5.00,0,0.000,1166,1.71,86.93,23.12,95,1,1,0,5.00,5.00,5.00,9,8,8,26.3,93.280,24,1.379,0.555
100000,13.44,29,0,6,1,7,0,1.00,4,0.446,1156,1.82,105.89,20.22,310,1,0,0,1.00,1.00,1.00,4,8,8,25.6,60.762,14,0.995,0.377
100000,11.96,12,0,0,0,12,0,1.00,10,0.000,1154,0.77,86.34,58.69,95,1,1,0,1.00,1.00,1.00,7,8,8,26.4,64.624,12,0.997,0.483
100000,29.80,19,0,0,0,19,0,1.00,6,0.000,1126,4.65,144.01,30.38,95,1,1,0,1.00,1.00,1.00,7,8,8,28.7,78.820,19,1.568,0.613
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1125,4.41,139.23,98.98,95,0,0,0,1.00,1.00,1.00,8,8,8,15.0,81.000,20,1.567,0.588
100000,29.89,20,0,0,0,20,0,1.00,8,0.000,1120,2.05,67.42,40.74,95,0,0,0,1.00,1.00,1.00,8,8,8,17.4,80.640,20,1.495,0.570
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1114,2.31,86.56,73.72,95,0,0,0,1.00,1.00,1.00,8,8,8,14.8,80.208,20,1.567,0.588
100000,29.89,20,0,0,0,20,0,1.00,4,0.000,1098,4.25,101.21,32.27,95,0,0,0,1.00,1.00,1.00,8,8,8,14.0,79.056,20,1.495,0.570
100000,29.80,19,0,0,0,19,0,1.00,6,0.000,1095,3.68,149.92,54.34,95,0,0,0,1.00,1.00,1.00,7,8,8,24.9,76.650,19,1.568,0.613
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1093,2.72,107.31,96.20,95,1,1,0,1.00,1.00,1.00,8,8,8,31.4,78.696,20,1.416,0.521
