step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
340000,2,25,18.88,0.20,0.20,2.60,12.32,0.00,1.06,0.000,0.004,10418.5,2093.2,1,1,6.40,1.05,1.03,1.2268,124.83,50.2,32.1245,1.2008,5461,0.3277,391,0.5221,2592.3
350000,0,586,20.11,0.21,0.12,1.01,15.34,0.00,1.03,0.000,0.112,339576.1,196402.0,1,15,6.45,1.02,1.04,56.2520,2181.47,88749.5,0.0000,4.8345,5462,0.3679,259,63.9158,456160.8
350000,1,569,18.68,0.15,0.09,1.11,13.83,0.00,1.02,0.000,0.098,296072.6,154034.2,1,10,6.07,1.01,1.01,44.5854,1516.44,13420.3,20.2442,4.5783,5461,0.3678,274,54.8162,382665.0
350000,2,23,21.98,0.00,0.00,0.48,18.70,0.00,1.00,0.000,0.005,16967.0,3699.6,1,2,7.09,1.00,1.00,1.9120,83.01,31.3,63.3050,1.8430,5461,0.3678,283,0.9012,5063.0
360000,0,540,21.60,0.26,0.11,0.91,16.46,0.01,1.06,0.004,0.110,190223.1,93539.6,1,17,6.68,1.06,1.05,27.8921,1597.03,90303.7,0.0000,4.4889,5462,0.3520,266,31.6364,221202.8
360000,1,481,20.60,0.22,0.09,1.36,14.93,0.00,1.04,0.000,0.091,175882.8,82372.4,1,17,6.57,1.03,1.03,25.2106,1309.24,13536.5,6.7159,4.6033,5461,0.3519,305,29.9220,201641.8
360000,2,29,20.02,0.00,0.00,1.31,15.03,0.00,1.00,0.000,0.006,10378.9,1948.6,1,13,6.52,1.00,1.00,1.2706,58.02,25.1,31.6974,1.2823,5461,0.3519,489,0.6129,2449.7
370000,0,583,19.71,0.44,0.10,0.79,14.80,0.00,1.06,0.000,0.107,337126.5,198298.0,1,12,6.23,1.02,1.08,55.5109,1855.48,87247.9,0.0000,4.6568,5462,0.3741,251,63.7022,458785.8
370000,1,519,20.13,0.24,0.09,1.27,14.51,0.00,1.02,0.000,0.096,300331.0,157744.0,1,17,6.23,1.01,1.02,45.7606,2076.54,12502.2,20.4115,4.4945,5461,0.3740,301,55.6135,390315.0
370000,2,24,20.09,0.00,0.08,1.17,15.00,0.00,1.00,0.000,0.004,18318.9,4341.4,1,3,6.88,1.00,1.00,2.1201,142.16,53.9,62.5653,1.9480,5461,0.3740,351,1.0869,5985.3
380000,0,560,21.08,0.15,0.10,1.24,15.66,0.00,1.02,0.000,0.109,189856.4,91470.3,1,19,6.61,1.02,1.04,27.6426,1424.64,90208.6,0.0000,4.5577,5462,0.3629,286,31.4943,220304.3
380000,1,474,20.26,0.22,0.17,1.27,14.60,0.00,1.02,0.000,0.089,181292.7,85970.6,1,14,6.40,1.00,1.03,26.4417,1395.94,14417.7,6.4609,4.6505,5461,0.3628,365,30.2992,208835.6
380000,2,29,21.88,0.00,0.00,0.93,17.72,0.00,1.00,0.000,0.006,10883.8,2313.5,1,4,6.66,1.00,1.00,1.3341,225.56,51.2,31.6388,1.2715,5461,0.3628,493,0.5640,3014.1
390000,0,589,20.25,0.27,0.17,0.88,15.15,0.00,1.04,0.000,0.112,340236.1,193843.2,1,13,6.29,1.03,1.04,55.3258,1598.26,89624.1,0.0001,4.6362,5462,0.3575,222,66.2523,462110.8
390000,1,552,18.61,0.18,0.09,1.03,14.06,0.00,1.03,0.000,0.096,291237.0,153720.6,1,25,5.99,1.04,1.03,44.3149,1923.25,13234.5,20.5854,4.6650,5461,0.3574,276,52.7488,374302.5
390000,2,12,26.56,1.50,0.00,1.25,16.67,0.00,1.00,0.000,0.002,16456.0,3753.3,1,2,6.50,1.00,1.00,1.8285,66.65,8.6,62.9654,1.7682,5461,0.3574,271,0.8665,5078.8
