step,cause,age,size,n,worn
10000,broken,50,32,108,0
10000,broken,50,36,562,2
10000,broken,50,40,34,1
10000,broken,50,44,36,0
10000,broken,50,48,663,3
10000,broken,50,52,12,0
10000,broken,50,56,17,0
10000,broken,50,60,21,0
10000,broken,50,64,331,1
10000,broken,50,68,1,0
10000,broken,50,72,1,0
10000,broken,50,76,3,0
10000,broken,50,80,56,1
10000,broken,50,84,1,0
10000,broken,50,92,1,0
10000,broken,50,100,14,0
10000,broken,100,0,9,0
10000,broken,100,4,6,0
10000,broken,100,8,13,0
10000,broken,100,12,16,0
10000,broken,100,16,26,0
10000,broken,100,20,35,0
10000,broken,100,24,219,0
10000,broken,100,28,45,0
10000,broken,100,32,82,2
10000,broken,100,36,400,3
10000,broken,100,40,23,0
10000,broken,100,44,41,0
10000,broken,100,48,489,3
10000,broken,100,52,5,0
10000,broken,100,56,6,0
10000,broken,100,60,15,0
10000,broken,100,64,258,3
10000,broken,100,68,1,0
10000,broken,100,72,1,0
10000,broken,100,76,4,0
10000,broken,100,80,50,0
10000,broken,100,84,1,0
10000,broken,100,100,6,1
10000,broken,150,0,5,0
10000,broken,150,4,1,0
10000,broken,150,8,8,0
10000,broken,150,12,8,0
10000,broken,150,16,17,0
10000,broken,150,20,22,0
10000,broken,150,24,119,0
10000,broken,150,28,39,0
10000,broken,150,32,56,0
10000,broken,150,36,298,2
10000,broken,150,40,19,0
10000,broken,150,44,32,0
10000,broken,150,48,390,2
10000,broken,150,52,8,0
10000,broken,150,56,4,0
10000,broken,150,60,15,1
10000,broken,150,64,196,5
10000,broken,150,68,3,0
10000,broken,150,72,3,0
10000,broken,150,76,3,0
10000,broken,150,80,40,0
10000,broken,150,100,3,0
10000,broken,200,0,3,0
10000,broken,200,8,5,0
10000,broken,200,12,8,0
10000,broken,200,16,10,0
10000,broken,200,20,5,0
10000,broken,200,24,79,0
10000,broken,200,28,29,1
10000,broken,200,32,24,0
10000,broken,200,36,192,2
10000,broken,200,40,15,0
10000,broken,200,44,17,0
10000,broken,200,48,261,10
10000,broken,200,52,10,0
10000,broken,200,56,4,0
10000,broken,200,60,7,0
10000,broken,200,64,128,2
10000,broken,200,68,2,0
10000,broken,200,72,1,0
10000,broken,200,76,1,0
10000,broken,200,80,34,1
10000,broken,200,100,10,1
10000,broken,250,0,2,0
10000,broken,250,8,3,0
10000,broken,250,12,1,0
10000,broken,250,16,4,0
10000,broken,250,20,8,0
10000,broken,250,24,58,1
10000,broken,250,28,17,0
10000,broken,250,32,30,0
10000,broken,250,36,110,3
10000,broken,250,40,6,0
10000,broken,250,44,15,0
10000,broken,250,48,160,2
10000,broken,250,52,5,1
10000,broken,250,56,5,0
10000,broken,250,60,6,0
10000,broken,250,64,115,2
10000,broken,250,72,1,0
10000,broken,250,80,23,1
10000,broken,250,100,6,0
10000,broken,250,120,1,0
10000,broken,300,0,1,0
10000,broken,300,8,3,0
10000,broken,300,12,1,0
10000,broken,300,16,1,0
10000,broken,300,20,5,0
10000,broken,300,24,32,0
10000,broken,300,28,12,0
10000,broken,300,32,21,0
10000,broken,300,36,83,0
10000,broken,300,40,7,0
10000,broken,300,44,8,0
10000,broken,300,48,129,1
10000,broken,300,52,1,0
10000,broken,300,56,1,0
10000,broken,300,60,8,0
10000,broken,300,64,58,2
10000,broken,300,72,1,0
10000,broken,300,76,2,0
10000,broken,300,80,16,0
10000,broken,300,100,1,0
10000,broken,350,16,1,0
10000,broken,350,20,1,0
10000,broken,350,24,25,0
10000,broken,350,28,10,1
10000,broken,350,32,14,0
10000,broken,350,36,60,0
10000,broken,350,40,1,0
10000,broken,350,44,3,0
10000,broken,350,48,63,2
10000,broken,350,52,3,0
10000,broken,350,56,1,0
10000,broken,350,60,4,0
10000,broken,350,64,40,1
10000,broken,350,76,2,0
10000,broken,350,80,14,0
10000,broken,350,100,1,0
10000,broken,400,8,2,0
10000,broken,400,16,1,0
10000,broken,400,20,2,0
10000,broken,400,24,13,0
10000,broken,400,28,3,0
10000,broken,400,32,7,0
10000,broken,400,36,25,0
10000,broken,400,44,6,1
10000,broken,400,48,61,0
10000,broken,400,56,1,0
10000,broken,400,64,28,2
10000,broken,400,80,6,1
10000,broken,400,100,1,0
10000,broken,450,20,1,0
10000,broken,450,24,3,0
10000,broken,450,28,2,0
10000,broken,450,32,6,0
10000,broken,450,36,30,3
10000,broken,450,44,1,0
10000,broken,450,48,20,0
10000,broken,450,64,28,1
10000,broken,450,76,1,0
10000,broken,450,80,4,1
10000,broken,450,100,1,0
10000,broken,500,24,10,0
10000,broken,500,28,4,0
10000,broken,500,32,3,0
10000,broken,500,36,27,0
10000,broken,500,40,1,0
10000,broken,500,44,3,0
10000,broken,500,48,19,2
10000,broken,500,56,1,0
10000,broken,500,60,2,0
10000,broken,500,64,16,2
10000,broken,500,80,3,1
10000,broken,500,100,2,0
10000,broken,550,24,7,1
10000,broken,550,28,2,0
10000,broken,550,32,3,0
10000,broken,550,36,6,0
10000,broken,550,44,1,0
10000,broken,550,48,21,1
10000,broken,550,64,13,1
10000,broken,550,80,1,0
10000,broken,550,100,1,0
10000,broken,600,24,5,0
10000,broken,600,28,2,0
10000,broken,600,32,1,0
10000,broken,600,36,6,1
10000,broken,600,44,1,0
10000,broken,600,48,14,1
10000,broken,600,56,1,0
10000,broken,600,64,4,0
10000,broken,600,80,2,0
10000,broken,650,24,2,0
10000,broken,650,36,3,0
10000,broken,650,48,14,1
10000,broken,650,64,5,1
10000,broken,650,80,4,0
10000,broken,700,24,1,0
10000,broken,700,36,4,1
10000,broken,700,48,5,1
10000,broken,700,64,1,0
10000,broken,700,80,1,0
10000,broken,750,0,1,0
10000,broken,750,20,1,0
10000,broken,750,24,2,0
10000,broken,750,36,3,0
10000,broken,750,48,8,1
10000,broken,750,64,2,0
10000,broken,800,28,1,0
10000,broken,800,36,2,1
10000,broken,800,48,2,0
10000,broken,800,64,1,0
10000,broken,850,24,1,0
10000,broken,850,36,2,0
10000,broken,850,48,2,0
10000,broken,850,80,2,1
10000,broken,900,24,1,0
10000,broken,900,48,3,0
10000,broken,950,32,1,0
10000,broken,950,48,4,0
10000,broken,1000,24,1,0
10000,broken,1000,28,1,0
10000,broken,1000,36,2,0
10000,broken,1000,48,3,0
10000,broken,1050,36,1,0
10000,broken,1050,44,1,0
10000,broken,1050,48,2,0
10000,broken,1050,64,1,0
10000,broken,1100,36,1,1
10000,broken,1100,48,3,0
10000,broken,1150,32,1,0
10000,broken,1150,36,1,0
10000,broken,1150,44,1,0
10000,broken,1150,48,3,1
10000,broken,1150,64,1,0
10000,broken,1200,24,1,0
10000,broken,1200,48,1,0
10000,broken,1200,64,1,0
10000,broken,1200,80,1,1
10000,broken,1250,32,1,0
10000,broken,1250,48,1,0
10000,broken,1250,64,2,0
10000,broken,1350,48,3,1
10000,broken,1400,12,1,0
10000,broken,1400,48,1,0
10000,broken,1450,36,1,0
10000,broken,1450,48,1,0
10000,broken,1450,64,1,1
10000,broken,1550,48,1,0
10000,broken,1600,48,1,1
10000,broken,1650,28,1,1
10000,broken,1650,48,2,0
10000,broken,1800,28,1,1
10000,broken,1900,48,1,0
10000,broken,2000,48,1,1
10000,broken,2150,36,1,1
10000,broken,2200,28,1,1
20000,hunger,0,0,4,0
20000,hunger,0,4,6,0
20000,hunger,0,8,18,0
20000,hunger,0,12,23,0
20000,hunger,0,16,72,0
20000,hunger,0,20,78,0
20000,hunger,0,24,313,0
20000,hunger,0,28,45,0
20000,hunger,0,32,73,0
20000,hunger,0,36,420,1
20000,hunger,0,40,14,0
20000,hunger,0,44,26,0
20000,hunger,0,48,248,0
20000,hunger,0,52,4,0
20000,hunger,0,56,2,0
20000,hunger,0,60,2,0
20000,hunger,0,64,90,1
20000,hunger,0,76,1,0
20000,hunger,0,80,17,1
20000,hunger,0,120,1,0
20000,hunger,0,144,1,0
20000,hunger,50,0,26,0
20000,hunger,50,4,38,0
20000,hunger,50,8,72,0
20000,hunger,50,12,111,1
20000,hunger,50,16,403,0
20000,hunger,50,20,378,0
20000,hunger,50,24,1300,3
20000,hunger,50,28,189,1
20000,hunger,50,32,287,0
20000,hunger,50,36,1297,5
20000,hunger,50,40,33,0
20000,hunger,50,44,48,0
20000,hunger,50,48,417,2
20000,hunger,50,52,1,0
20000,hunger,50,56,2,0
20000,hunger,50,60,6,0
20000,hunger,50,64,57,0
20000,hunger,50,72,1,0
20000,hunger,50,80,11,0
20000,hunger,50,88,1,0
20000,hunger,50,100,1,0
20000,hunger,100,0,14,0
20000,hunger,100,4,23,0
20000,hunger,100,8,49,0
20000,hunger,100,12,61,0
20000,hunger,100,16,374,1
20000,hunger,100,20,310,2
20000,hunger,100,24,1103,5
20000,hunger,100,28,124,0
20000,hunger,100,32,218,2
20000,hunger,100,36,1118,6
20000,hunger,100,40,21,0
20000,hunger,100,44,40,0
20000,hunger,100,48,462,1
20000,hunger,100,52,5,0
20000,hunger,100,56,6,1
20000,hunger,100,60,7,0
20000,hunger,100,64,95,1
20000,hunger,100,76,1,0
20000,hunger,100,80,23,0
20000,hunger,150,4,16,0
20000,hunger,150,8,32,0
20000,hunger,150,12,46,0
20000,hunger,150,16,268,2
20000,hunger,150,20,255,2
20000,hunger,150,24,896,10
20000,hunger,150,28,107,0
20000,hunger,150,32,182,3
20000,hunger,150,36,932,13
20000,hunger,150,40,26,1
20000,hunger,150,44,54,0
20000,hunger,150,48,375,5
20000,hunger,150,52,9,0
20000,hunger,150,56,7,0
20000,hunger,150,60,14,0
20000,hunger,150,64,89,0
20000,hunger,150,76,1,0
