step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,22.00,16,0,5,0,6,0,1.00,2,0.227,2106,0.00,45.96,55.20,949,0,0,0,1.00,1.00,1.00,2,3,4,5.8,10.762,11,2.000,0.000,4,1.000,1,31.82,-31.50,0,0.0930,0.013,0.5092
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2106,0.00,53.85,53.80,949,0,0,0,1.00,1.00,1.00,4,4,4,6.4,7.708,15,2.000,0.000,4,1.000,1,14.32,-10.00,0,0.0927,0.003,0.5984
100000,26.00,16,0,7,0,6,0,1.00,0,0.269,2104,0.26,57.72,94.09,949,2,0,0,1.00,1.00,1.00,2,4,4,40.9,33.849,13,2.000,0.000,4,1.000,3,51.27,-36.00,0,0.0930,0.014,0.5335
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,2100,0.29,51.00,188.59,949,2,0,0,1.00,1.00,1.00,4,4,4,40.5,64.642,15,2.000,0.000,4,1.000,1,43.69,42.75,0,0.0925,0.012,0.4077
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2099,0.00,82.95,58.31,949,1,0,0,1.00,1.00,1.00,1,4,4,34.8,44.992,15,2.000,0.000,4,1.000,1,61.89,-25.25,0,0.0930,0.014,0.4772
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2098,4.30,50.91,81.59,949,0,1,0,1.00,1.00,1.00,4,4,4,26.1,27.780,16,2.000,0.000,4,1.000,0,25.18,23.00,0,0.0930,0.014,0.4752
100000,22.00,16,0,10,0,1,0,1.00,0,0.455,2096,0.00,38.20,157.72,949,2,2,0,1.00,1.00,1.00,2,4,4,51.0,16.093,11,2.000,0.000,4,1.000,2,69.77,-30.50,0,0.0925,0.012,0.5219
100000,28.00,16,0,11,0,3,0,1.00,0,0.393,2089,0.00,44.64,119.49,949,1,0,0,1.00,1.00,1.00,4,4,4,33.9,48.576,14,2.000,0.000,4,1.000,0,51.92,-25.00,0,0.0925,0.012,0.5095
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2088,0.06,55.94,147.91,949,2,2,0,1.00,1.00,1.00,4,4,4,40.6,45.898,15,2.000,0.000,4,1.000,1,39.25,10.75,0,0.0930,0.014,0.4984
100000,28.00,16,0,11,0,3,0,1.00,0,0.393,2085,0.00,38.49,96.24,949,0,0,0,1.00,1.00,1.00,2,4,4,25.8,21.857,14,2.000,0.000,4,1.000,0,30.87,-26.25,0,0.0949,0.117,0.4098
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2085,0.26,64.66,66.95,949,0,0,0,1.00,1.00,1.00,4,4,4,13.5,34.940,14,2.000,0.000,4,1.000,2,21.52,-18.50,0,0.0938,0.010,0.4283
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2082,1.83,53.26,155.85,949,1,0,0,1.00,1.00,1.00,4,4,4,29.5,41.257,12,2.000,0.000,4,1.000,4,13.89,-13.75,0,0.0925,0.012,0.4419
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2078,0.00,44.16,87.62,949,1,2,0,1.00,1.00,1.00,4,4,4,32.1,35.853,11,2.000,0.000,4,1.000,1,38.95,14.25,0,0.0930,0.014,0.4946
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2074,0.00,78.13,57.58,949,0,0,0,1.00,1.00,1.00,1,4,4,21.5,57.316,16,2.000,0.000,4,1.000,0,39.40,16.00,0,0.0930,0.011,0.4631
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2048,0.00,57.74,118.02,949,1,0,0,1.00,1.00,1.00,4,4,4,38.9,51.880,15,2.000,0.000,4,1.000,1,37.73,-37.25,0,0.0930,0.011,0.4280
100000,20.00,16,0,7,0,3,0,1.00,0,0.350,2028,0.00,26.85,105.54,949,1,0,0,1.00,1.00,1.00,2,4,4,28.6,8.824,10,2.000,0.000,4,1.000,2,57.29,5.75,0,0.0927,0.003,0.5959
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2026,4.24,53.60,122.45,949,0,1,0,1.00,1.00,1.00,1,4,4,24.6,30.669,14,2.000,0.000,4,1.000,2,16.75,-16.75,0,0.0925,0.012,0.4461
100000,4.94,19,0,1,0,3,0,1.00,22,0.203,2024,0.00,58.35,10.40,1243,1,0,0,1.00,1.00,1.00,2,4,1,28.2,6.278,4,1.234,0.437,8,1.000,0,5.51,0.25,0,0.0000,0.000,0.0000
