step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
6000,-60,2,2,0.0528,0.04,2.13,26.76,0,7.56,0.345,10.995,0.9636,50.540
6000,-50,0,7203,921.5405,652.50,93.34,29.37,274,11.81,2.256,10.297,0.4119,47.344
6000,-50,1,1491,222.5888,85.20,437.98,15.69,112,10.54,1.990,11.042,0.7494,81.123
6000,-50,2,4,0.0000,0.00,6.04,33.40,1,11.88,1.260,8.861,0.9190,71.919
6000,-40,0,6356,772.0769,450.64,60.99,37.17,416,21.25,6.439,6.901,0.3674,114.554
6000,-40,1,1722,185.9630,101.28,618.35,21.04,86,19.15,5.706,7.893,0.6226,168.364
6000,-40,2,3,0.6956,0.45,3.38,30.49,0,22.22,5.703,5.333,0.9457,215.934
6000,-30,0,4317,527.5393,315.16,86.25,38.62,230,27.84,10.281,5.221,0.3867,240.508
6000,-30,1,3204,666.0682,272.79,1507.91,29.38,281,27.09,10.103,5.629,0.5979,370.705
6000,-30,2,656,179.5403,94.05,952.93,29.48,79,28.78,10.956,5.037,0.7926,544.018
6000,-20,0,1804,214.2281,181.58,39.83,54.15,23,33.14,13.713,4.115,0.2769,305.670
6000,-20,1,2439,578.8015,335.52,1009.06,29.66,64,32.53,13.478,4.350,0.4537,486.388
6000,-20,2,3976,609.2365,250.97,11407.45,30.03,397,31.69,13.075,4.649,0.7791,772.069
6000,-10,0,1814,409.6034,524.67,23.32,55.08,4,36.67,16.115,3.434,0.2610,422.430
6000,-10,1,2035,702.4495,662.41,895.34,31.85,5,36.81,16.246,3.419,0.3606,619.827
6000,-10,2,4375,542.4512,309.35,16011.05,28.55,377,34.08,14.781,4.263,0.7471,997.374
6000,0,0,1844,563.7217,748.45,31.40,61.10,5,38.52,17.315,3.045,0.2136,426.090
6000,0,1,1753,1026.1890,1176.19,855.43,35.85,4,38.62,17.366,3.016,0.3382,693.341
6000,0,2,4770,1016.8220,851.69,15217.20,29.07,376,35.06,15.491,4.129,0.6482,958.552
6000,10,0,3067,901.0829,1222.89,50.02,64.17,11,37.40,16.530,3.254,0.1712,308.567
6000,10,1,2819,1812.0164,2475.78,1427.63,37.26,28,37.17,16.394,3.325,0.3290,583.217
6000,10,2,3559,597.5216,453.46,9517.46,9.23,253,31.84,13.738,5.122,0.6135,737.765
6000,20,0,4138,859.4524,767.53,65.82,46.72,80,32.07,13.344,4.658,0.1628,184.184
6000,20,1,3210,1982.2373,1797.47,1495.18,22.70,328,32.16,13.342,4.568,0.4066,467.161
6000,20,2,1097,255.8324,124.12,1946.95,-1.78,107,28.91,11.874,5.810,0.5554,509.207
6000,30,0,6854,1242.7303,737.47,82.71,20.90,347,26.32,9.777,6.030,0.2080,145.777
6000,30,1,2188,1277.8234,478.80,946.97,30.33,409,29.14,10.959,4.826,0.4921,362.197
6000,30,2,232,88.7861,21.42,262.11,52.56,13,26.23,9.310,5.679,0.7115,370.432
6000,40,0,6698,723.5410,247.38,61.60,9.68,269,19.73,5.996,7.782,0.2122,81.852
6000,40,1,1222,297.2302,103.11,491.99,34.06,79,23.55,7.267,5.895,0.6588,245.173
6000,40,2,250,38.3329,11.45,308.00,48.22,7,23.52,7.523,6.193,0.8244,308.587
6000,50,0,5119,251.8406,87.24,12.14,-1.74,51,11.02,2.231,10.966,0.1432,27.515
6000,50,1,586,124.6004,83.70,159.41,32.41,36,17.46,3.871,7.466,0.8060,153.044
6000,50,2,11,0.0809,0.07,15.79,26.98,0,20.16,4.457,5.758,0.9610,196.701
6000,60,0,3853,59.4111,71.72,0.74,-9.78,7,2.19,0.214,15.122,0.0856,7.804
6000,60,1,2,1.5376,0.77,0.38,-1.86,0,10.59,0.797,9.345,0.8728,67.760
6000,70,0,4656,10.0843,54.02,0.13,-14.81,0,-5.58,0.000,20.846,0.0544,3.800
6000,80,0,3564,0.0524,13.98,0.05,-23.14,0,-12.09,0.000,27.086,0.0400,4.137
