step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,72.00,36,0,14,0,22,0,1.00,0,0.194,549,-0.00,56.56,16.82,441,1,0,0,1.00,1.00,1.00,4,6,6,27.6,14.454,36,2.000,0.635,6,1.000,0,7.54,0.75
100000,89.94,81,0,15,0,30,0,1.00,0,0.167,548,0.00,55.77,0.94,466,0,0,0,1.00,1.00,1.00,7,9,9,12.9,2.763,45,1.999,0.430,9,1.000,0,11.75,0.00
100000,14.00,25,0,3,0,4,0,1.00,6,0.214,547,0.09,12.83,7.24,441,2,2,0,1.00,1.00,1.00,2,5,2,40.2,10.347,7,2.000,0.825,5,1.000,0,7.99,-2.75
100000,20.00,25,0,3,0,7,0,1.00,4,0.150,542,0.51,22.33,3.88,441,1,1,0,1.00,1.00,1.00,2,4,4,25.9,12.315,10,2.000,0.658,5,1.000,0,8.75,8.75
100000,42.00,25,0,16,0,5,0,1.00,0,0.381,542,0.00,15.76,37.95,447,2,0,0,1.00,1.00,1.00,4,5,5,43.5,23.239,21,2.000,0.623,5,1.000,0,30.25,0.00
100000,32.00,25,0,10,0,6,0,1.00,0,0.313,540,0.00,37.59,16.41,441,2,1,0,1.00,1.00,1.00,3,5,5,51.3,16.941,16,2.000,0.668,5,1.000,0,20.98,7.75
100000,42.00,36,0,17,0,4,0,1.00,0,0.405,538,0.04,16.27,58.15,447,0,0,0,1.00,1.00,1.00,5,6,6,17.6,23.472,21,2.000,0.677,6,1.000,0,15.57,14.75
100000,20.00,25,0,8,0,2,0,1.00,2,0.400,537,0.00,24.85,44.77,441,2,0,0,1.00,1.00,1.00,2,5,4,42.9,5.400,10,2.000,0.666,5,1.000,0,20.00,0.00
100000,46.00,25,2,9,0,10,0,1.45,0,0.196,528,0.00,21.04,4.86,441,0,0,3,1.00,2.00,1.40,4,5,5,1.2,5.688,21,2.000,0.625,5,1.000,0,0.50,0.00
100000,21.96,25,0,5,0,6,0,1.00,4,0.228,516,0.02,29.01,10.04,447,0,0,0,1.00,1.00,1.00,2,5,3,22.0,11.416,11,1.997,0.315,5,1.000,0,3.13,-2.75
100000,47.96,25,8,0,0,8,0,3.33,2,0.000,514,0.00,18.65,11.80,441,0,0,0,1.00,5.20,3.62,3,4,5,12.2,5.533,16,1.999,0.747,5,1.000,0,0.00,0.00
100000,48.00,25,0,16,0,8,0,1.00,0,0.333,513,0.00,36.07,62.13,441,0,0,0,1.00,1.00,1.00,4,5,5,23.3,18.263,24,2.000,0.676,5,1.000,0,23.01,-23.00
100000,28.00,25,0,9,0,5,0,1.00,2,0.321,511,0.00,14.33,50.01,441,0,0,0,1.00,1.00,1.00,2,4,5,22.3,9.523,14,2.000,0.550,5,1.000,0,11.82,11.75
100000,37.97,49,0,16,0,3,0,1.00,4,0.421,508,0.00,22.72,9.64,471,1,1,0,1.00,1.00,1.00,4,6,6,32.6,4.454,19,1.998,0.662,7,1.000,0,6.15,-2.75
100000,50.00,25,0,16,0,9,0,1.00,0,0.320,504,3.83,66.11,52.76,441,0,0,0,1.00,1.00,1.00,4,5,5,19.9,41.328,25,2.000,0.676,5,1.000,0,51.50,0.00
100000,34.00,25,0,9,0,8,0,1.00,0,0.265,499,3.28,19.84,43.71,441,2,2,0,1.00,1.00,1.00,4,5,5,43.7,22.524,17,2.000,0.550,5,1.000,0,6.73,5.00
100000,50.00,25,0,16,0,9,0,1.00,0,0.320,497,0.00,38.06,37.56,441,0,0,0,1.00,1.00,1.00,4,5,5,13.2,33.655,25,2.000,0.676,5,1.000,0,4.25,4.25
100000,47.42,40,0,3,0,23,0,1.00,6,0.063,496,-0.00,29.76,0.81,461,1,0,0,1.00,1.00,1.00,6,7,4,26.5,1.376,26,1.824,0.271,7,1.000,0,2.85,2.75
100000,44.00,25,0,14,0,8,0,1.00,0,0.318,496,4.35,51.12,16.50,441,2,1,0,1.00,1.00,1.00,4,5,5,43.2,23.731,22,2.000,0.680,5,1.000,0,7.85,-3.00
100000,22.00,25,0,10,0,1,0,1.00,6,0.455,490,0.00,19.32,38.29,441,0,0,0,1.00,1.00,1.00,2,3,4,21.9,0.068,11,2.000,0.550,5,1.000,0,18.25,18.25
100000,50.00,25,0,13,0,12,0,1.00,0,0.260,489,0.00,20.46,95.53,441,0,0,0,1.00,1.00,1.00,4,5,5,20.4,1.266,25,2.000,0.561,5,1.000,0,10.55,5.50
